Case,Activity,Timestamp,Resource,label,Activity_fixed
2771451,enter senddate retrieve missing data,2010-11-18 08:00:01,6,,enter senddate retrieve missing data
2771451,request complete,2010-12-01 18:54:01,2670601,,request complete
2771451,phase advice known,2010-12-01 18:54:20,2670601,,phase advice known
2771451,creating environmental permit decision,2010-12-01 18:54:48,2670601,,creating environmental permit decision
2771451,register date environmental permit decision,2010-12-06 08:00:01,560890,,register date environmental permit decision
2782209,register submission date request,2010-10-06 07:00:01,560925,,register submission date request
2782209,enter senddate procedure confirmation,2010-11-18 08:00:02,560890,,enter senddate procedure confirmation
2782209,enter date publication decision environmental permit,2010-11-24 08:00:01,560890,,enter date publication decision environmental permit
2783345,enter senddate procedure confirmation,2010-10-11 07:00:01,2670601,,enter senddate procedure confirmation
2783345,registrer date of publishing received request,2010-10-11 07:00:02,2670601,,registrer date of publishing received request
2783345,enter senddate procedure confirmation,2010-10-19 07:00:01,2670601,,enter senddate procedure confirmation
2783345,enter receipt of additional data,2010-11-24 08:00:02,2670601,,enter receipt of additional data
2783345,request complete,2010-12-01 18:37:30,2670601,,request complete
2783345,phase advice known,2010-12-01 18:38:01,2670601,,phase advice known
2783345,creating environmental permit decision,2010-12-01 18:39:11,2670601,,creating environmental permit decision
2783345,enter senddate decision environmental permit,2010-12-06 08:00:02,560890,,enter senddate decision environmental permit
2783345,register date environmental permit decision,2010-12-06 08:00:03,560890,,register date environmental permit decision
2783345,enter date publication decision environmental permit,2010-12-15 08:00:01,560890,,enter date publication decision environmental permit
2794023,registrer date of publishing received request,2010-10-27 07:00:01,560872,,registrer date of publishing received request
2794023,enter senddate confirmation request,2010-12-07 08:00:01,560890,,enter senddate confirmation request
2794023,register date decision terminate on request,2010-12-07 08:00:02,560890,,register date decision terminate on request
2794023,stop process after terminate on request,2010-12-07 19:30:09,560890,,stop process after terminate on request
2797217,enter senddate acknowledgement,2010-10-12 07:00:01,560872,,enter senddate acknowledgement
2797217,register submission date request,2010-10-12 07:00:02,560872,,register submission date request
2797217,enter senddate procedure confirmation,2010-10-15 07:00:01,560872,,enter senddate procedure confirmation
2797217,request complete,2010-10-25 22:23:00,560872,,request complete
2797217,phase advice known,2010-10-25 22:23:26,560872,,phase advice known
2797217,creating environmental permit decision,2010-10-25 22:23:50,560872,,creating environmental permit decision
2797217,registrer date of publishing received request,2010-10-27 07:00:02,560872,,registrer date of publishing received request
2802160,register submission date request,2010-10-13 07:00:01,560912,,register submission date request
2802160,enter senddate procedure confirmation,2010-10-18 07:00:01,560912,,enter senddate procedure confirmation
2802160,enter senddate procedure confirmation,2010-10-19 07:00:02,560890,,enter senddate procedure confirmation
2802160,registrer date of publishing received request,2010-10-27 07:00:03,560912,,registrer date of publishing received request
2802160,enter senddate retrieve missing data,2010-11-18 08:00:03,560890,,enter senddate retrieve missing data
2814003,register submission date request,2010-10-19 07:00:03,560912,,register submission date request
2814003,enter senddate procedure confirmation,2010-11-01 08:00:01,560912,,enter senddate procedure confirmation
2814003,registrer date of publishing received request,2010-11-03 08:00:01,560912,,registrer date of publishing received request
2814003,request complete,2010-11-08 19:29:03,560912,,request complete
2814003,phase advice known,2010-11-08 19:29:58,560912,,phase advice known
2814003,enter date publication decision environmental permit,2010-11-17 08:00:01,560912,,enter date publication decision environmental permit
2817543,enter senddate procedure confirmation,2010-10-25 07:00:01,560872,,enter senddate procedure confirmation
2817543,enter senddate procedure confirmation,2010-12-07 08:00:03,560872,,enter senddate procedure confirmation
2817543,enter senddate retrieve missing data,2010-12-07 08:00:04,560872,,enter senddate retrieve missing data
2817543,request complete,2011-03-04 20:31:48,560872,,request complete
2817543,phase advice known,2011-03-04 20:32:16,560872,,phase advice known
2817543,grounds for refusal,2011-03-04 20:32:19,560872,,grounds for refusal
2817543,phase concept draft decision ready,2011-03-04 20:32:24,560872,,phase concept draft decision ready
2817543,publish official draft decision,2011-03-04 20:36:07,560872,,publish official draft decision
2817543,enter date draft decisionenvironmental permit,2011-03-08 08:00:01,560872,,enter date draft decisionenvironmental permit
2817543,creating environmental permit decision,2011-05-12 18:40:32,560462,,creating environmental permit decision
2824783,register submission date request,2010-10-27 07:00:04,560925,,register submission date request
2824783,send confirmation receipt,2011-07-08 17:54:09,2670601,,send confirmation receipt
2825088,register submission date request,2010-10-26 07:00:01,560925,,register submission date request
2825088,send confirmation receipt,2012-03-29 17:35:30,2670601,,send confirmation receipt
2825088,send procedure confirmation,2012-03-29 17:35:41,2670601,,send procedure confirmation
2830183,register submission date request,2010-10-22 07:00:01,560925,,register submission date request
2830183,request complete,2010-12-09 00:45:33,560881,,request complete
2830183,phase advice known,2010-12-09 00:45:50,560881,,phase advice known
2830183,creating environmental permit decision,2010-12-14 20:22:13,560890,,creating environmental permit decision
2831567,register submission date request,2010-10-25 07:00:02,560912,,register submission date request
2831567,enter senddate procedure confirmation,2010-11-02 08:00:01,560912,,enter senddate procedure confirmation
2831567,registrer date of publishing received request,2010-11-10 08:00:01,560912,,registrer date of publishing received request
2831567,register date environmental permit decision,2010-12-06 08:00:04,560890,,register date environmental permit decision
2831567,enter senddate procedure confirmation,2010-12-07 08:00:05,560881,,enter senddate procedure confirmation
2831567,request complete,2010-12-07 19:26:44,560881,,request complete
2831567,phase advice known,2010-12-07 19:27:07,560881,,phase advice known
2831567,creating environmental permit decision,2010-12-07 20:59:28,560890,,creating environmental permit decision
2831567,enter date publication decision environmental permit,2010-12-15 08:00:02,560890,,enter date publication decision environmental permit
2832460,register submission date request,2010-11-01 08:00:03,560912,,register submission date request
