Case,Timestamp,Resource,Activity,Activity_fixed,label
2838476,2010-12-16 08:00:01,560890,registebr date environmental permit decision,register date environmental permit decision,distorted label(Insert)
2874224,2010-11-24 08:00:05,2670601,enter senddate procedure confirkation,enter senddate procedure confirmation,distorted label(Proximity)
2879904,2011-01-19 08:00:02,560912,enter senddate procedurQe confirmation,enter senddate procedure confirmation,distorted label(Insert)
2887729,2011-10-28 18:03:23,560890,Regular procedure without MER,regular procedure without MER,distorted label(UpLow)
2887729,2011-10-28 18:03:29,560890,aplicant is stakeholder,applicant is stakeholder,distorted label(Skip)
2902319,2011-02-08 18:07:21,560881,request complet,request complete,distorted label(Skip)
2931527,2010-12-15 08:00:12,560881,enter senddate procdeure confirmation,enter senddate procdeure confirmation,distorted label(Interchange)
2952306,2010-12-23 08:00:09,560872,enter senddate procedure vonfirmation,enter senddate procedure confirmation,distorted label(Proximity)
2953434,2011-02-14 08:00:01,560890,Register date environmental permit decision,register date environmental permit decision,distorted label(UpLow)
2985791,2011-02-28 08:00:02,2670601,registrer date of publishing rceived request,registrer date of publishing received request,distorted label(Skip)
3019065,2011-01-20 08:00:01,560925,enter senddate acknowledegment,enter senddate acknowledegment,distorted label(Interchange)
3084709,2011-02-23 08:00:13,560894,Register date environmental permit decision,register date environmental permit decision,distorted label(UpLow)
3097714,2011-01-31 08:00:05,560872,ented senddate acknowledgement,enter senddate acknowledgement,distorted label(Proximity)
3113605,2011-02-22 08:00:11,560881,enter senddate procedure cofirmation,enter senddate procedure confirmation,distorted label(Skip)
3113605,2011-03-16 20:42:27,560881,Request complete,request complete,distorted label(UpLow)
3115575,2011-02-03 08:00:04,560872,enter senddate acknowledgdment,enter senddate acknowledgement,distorted label(Proximity)
3130787,2011-02-22 08:00:17,560881,enter senddate procedure confitmation,enter senddate procedure confirmation,distorted label(Proximity)
3130787,2011-05-09 07:00:01,560464,regDister deadline,regDister deadline,distorted label(Insert)
3151204,2011-02-14 08:00:15,560912,enter senddate cknowledgement,enter senddate acknowledgement,distorted label(Skip)
3151204,2011-03-16 08:00:15,560881,Enter senddate procedure confirmation,enter senddate procedure confirmation,distorted label(UpLow)
3197502,2011-04-06 07:00:06,560890,enter date publication decision environmmental permit,enter date publication decision environmental permit,distorted label(Insert)
3207862,2011-04-13 07:00:10,2670601,enter senddate procedure confirmstion,enter senddate procedure confirmation,distorted label(Proximity)
3225456,2011-02-18 08:00:04,560872,register submission dater equest,register submission date request,distorted label(Interchange)
3232189,2012-03-28 07:00:01,560894,Register date decision terminate on request,Register date decision terminate on request,distorted label(UpLow)
3256221,2013-11-25 08:00:05,560462,read field phased app/ication,read field phased application,distorted label(Proximity)
3262171,2011-05-03 07:00:07,3273854,enter senddate decision procedure term exFtension,enter senddate decision procedure term extension,distorted label(Insert)
3265011,2011-03-30 18:37:13,3273854,suspension ground applicablse,suspension ground applicable,distorted label(Insert)
