Case,Activity,Timestamp,Resource,label
0,Check for completeness;New online application received,2023-09-29 09:00:00,Clerk-000001,
0,Perform checks,2023-09-29 09:08:36,Clerk-000003,
0,Make decision,2023-09-29 09:09:43,Manager-000001,
0,Notify accept,2023-09-29 09:16:37,Manager-000003,
0,Deliver card,2023-09-29 09:39:19,Manager-000002,
0,EVENT 13 END,2023-09-29 09:49:41,,
1,Check for completeness;New online application received,2023-09-29 09:05:24,Clerk-000002,
1,Perform checks,2023-09-29 09:10:28,Clerk-000004,
1,Make decision;Notify accept,2023-09-29 09:13:51,Manager-000002,form-based events(2023-09-29 09:13:51.492)
1,Deliver card,2023-09-29 09:54:59,Manager-000004,
1,EVENT 13 END,2023-09-29 10:09:32,,
2,Check for completeness;New online application received,2023-09-29 09:24:45,Clerk-000005,
2,Perform checks,2023-09-29 09:25:09,Clerk-000006,
2,Make decision;Notify accept,2023-09-29 09:33:00,Manager-000004,form-based events(2023-09-29 09:33:00.179)
2,Deliver card,2023-09-29 09:38:25,Manager-000001,
2,EVENT 13 END,2023-09-29 09:43:20,,
3,Check for completeness;New online application received,2023-09-29 11:04:02,Clerk-000001,
3,Request info,2023-09-29 11:14:01,Manager-000006,
3,info received,2023-09-29 11:22:56,,
3,Check for completeness,2023-09-29 11:23:06,Clerk-000003,
3,Perform checks,2023-09-29 11:26:10,Clerk-000002,
3,Make decision,2023-09-29 11:39:44,Manager-000003,
3,notify reject,2023-09-29 11:44:04,Manager-000002,
3,time out,2023-09-29 11:55:24,,
3,EVENT 13 END,2023-09-29 11:55:34,,
4,Check for completeness;New online application received,2023-09-29 11:34:38,Clerk-000004,
4,Request info,2023-09-29 11:42:14,Manager-000001,
4,info received,2023-09-29 12:28:45,,
4,Check for completeness,2023-09-29 12:28:55,Clerk-000001,
4,Perform checks,2023-09-29 12:54:48,Clerk-000003,
4,Make decision,2023-09-29 13:08:52,Manager-000003,
4,Notify accept,2023-09-29 13:20:24,Manager-000002,
4,Deliver card,2023-09-29 13:31:16,Manager-000004,
4,EVENT 13 END,2023-09-29 13:33:29,,
5,Check for completeness;New online application received,2023-09-29 11:58:51,Clerk-000005,
5,Perform checks,2023-09-29 11:59:56,Clerk-000006,
5,Make decision,2023-09-29 12:06:54,Manager-000005,
5,Notify accept,2023-09-29 12:13:00,Manager-000004,
5,Deliver card,2023-09-29 12:15:13,Manager-000006,
5,EVENT 13 END,2023-09-29 12:16:48,,
6,Check for completeness;New online application received,2023-09-29 13:17:49,Clerk-000002,
6,Perform checks,2023-09-29 13:41:22,Clerk-000003,
6,Make decision,2023-09-29 13:45:49,Manager-000002,
6,Notify accept,2023-09-29 13:46:40,Manager-000004,
6,Deliver card,2023-09-29 14:12:17,Manager-000003,
6,EVENT 13 END,2023-09-29 14:25:51,,
7,Check for completeness;New online application received,2023-09-29 13:24:12,Clerk-000004,
7,Perform checks,2023-09-29 13:24:18,Clerk-000005,
7,Make decision,2023-09-29 13:29:26,Manager-000005,
7,Notify accept,2023-09-29 13:39:56,Manager-000006,
7,Deliver card,2023-09-29 13:43:55,Manager-000001,
7,EVENT 13 END,2023-09-29 13:58:02,,
8,Check for completeness;New online application received,2023-09-29 13:38:17,Clerk-000006,
8,Request info,2023-09-29 13:43:58,Manager-000003,
8,info received,2023-09-29 13:45:28,,
8,Check for completeness,2023-09-29 13:45:38,Clerk-000004,
8,Perform checks,2023-09-29 13:59:58,Clerk-000005,
8,Make decision,2023-09-29 14:00:04,Manager-000005,
8,notify reject,2023-09-29 14:15:21,Manager-000002,
8,review request received,2023-09-29 14:19:47,,
8,Check for completeness,2023-09-29 14:19:57,Clerk-000006,
8,Perform checks,2023-09-29 14:28:22,Clerk-000003,
8,Make decision,2023-09-29 14:34:51,Manager-000004,
8,Notify accept,2023-09-29 14:36:15,Manager-000005,
8,Deliver card,2023-09-29 14:37:47,Manager-000006,
8,EVENT 13 END,2023-09-29 14:52:19,,
9,Check for completeness;New online application received,2023-09-29 13:41:21,Clerk-000001,
9,Request info,2023-09-29 14:01:14,Manager-000006,
9,info received,2023-09-29 14:19:00,,
