Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true,Activity_fixed
0,Check for completeness,2023-09-29 09:00:00,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
0,New online application received,2023-09-29 09:00:00,,,0,New online application received,new online application received,-1,0,0,New online application received
0,Perform checks,2023-09-29 09:08:36,Clerk-000003,,0,Perform checks,perform checks,1051,0,0,Perform checks
1,Perform checks,2023-09-29 09:10:28,Clerk-000004,,0,Perform checks,perform checks,1052,0,0,Perform checks
1,Deliver card,2023-09-29 09:54:59,Manager-000004,,0,Deliver card,deliver card,-1,0,0,Deliver card
1,EVENT 13 END,2023-09-29 10:09:32,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
2,Check for completeness,2023-09-29 09:24:45,Clerk-000005,,0,Check for completeness,check for completeness,903,0,0,Check for completeness
2,Make decision_signed2,2023-09-29 09:24:45,,collateral events(Make decision),0,Make decision_signed2,make decision,1043,0,1,Make decision_signed2
2,Make decision_signed1,2023-09-29 09:25:09,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,-1,0,1,Make decision_signed1
2,Make decision_signed2,2023-09-29 09:25:10,Clerk-000006,collateral events(Make decision),0,Make decision_signed2,make decision,-1,0,1,Make decision_signed2
2,Make decision,2023-09-29 09:33:00,Manager-000004,,0,Make decision,make decision,1040,0,0,Make decision
2,Make decision_signed1,2023-09-29 09:33:00,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,981,0,1,Make decision_signed1
2,Make decision_signed1,2023-09-29 09:37:36,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1045,0,1,Make decision_signed1
2,Make decision_signed2,2023-09-29 09:37:37,Manager-000006,collateral events(Make decision),0,Make decision_signed2,make decision,1047,0,1,Make decision_signed2
2,Make decision_signed1,2023-09-29 09:38:25,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,-1,0,1,Make decision_signed1
2,Make decision_signed2,2023-09-29 09:38:26,Manager-000001,collateral events(Make decision),0,Make decision_signed2,make decision,-1,0,1,Make decision_signed2
2,EVENT 13 END,2023-09-29 09:43:20,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
2,Make decision_signed1,2023-09-29 09:43:21,,collateral events(Make decision),0,Make decision_signed1,make decision,1001,0,1,Make decision_signed1
3,New online application received,2023-09-29 11:04:02,,,0,New online application received,new online application received,1048,0,0,New online application received
3,Check for completeness,2023-09-29 11:23:06,Clerk-000003,,0,Check for completeness,check for completeness,788,0,0,Check for completeness
3,notify reject,2023-09-29 11:44:04,Manager-000002,,0,notify reject,notify reject,1032,0,0,notify reject
4,Check for completeness,2023-09-29 11:34:38,Clerk-000004,,0,Check for completeness,check for completeness,1004,0,0,Check for completeness
4,Make decision,2023-09-29 13:08:52,Manager-000003,,0,Make decision,make decision,1053,0,0,Make decision
4,EVENT 13 END,2023-09-29 13:33:29,,,0,EVENT 13 END,event 13 end,1029,0,0,EVENT 13 END
5,Perform checks,2023-09-29 11:59:56,Clerk-000006,,0,Perform checks,perform checks,1002,0,0,Perform checks
5,Deliver card,2023-09-29 12:15:13,Manager-000006,,0,Deliver card,deliver card,1041,0,0,Deliver card
6,New online application received,2023-09-29 13:17:49,,,0,New online application received,new online application received,520,0,0,New online application received
6,Make decision_signed1,2023-09-29 13:17:50,,collateral events(Make decision),0,Make decision_signed1,make decision,1033,0,1,Make decision_signed1
6,Make decision_signed1,2023-09-29 13:41:23,Clerk-000003,collateral events(Make decision),0,Make decision_signed1,make decision,947,0,1,Make decision_signed1
6,Make decision_signed1,2023-09-29 13:45:49,Manager-000002,collateral events(Make decision),0,Make decision_signed1,make decision,918,0,1,Make decision_signed1
6,Make decision_signed1,2023-09-29 13:46:41,Manager-000004,collateral events(Make decision),0,Make decision_signed1,make decision,1054,0,1,Make decision_signed1
6,Make decision_signed1,2023-09-29 14:12:17,Manager-000003,collateral events(Make decision),0,Make decision_signed1,make decision,-1,0,1,Make decision_signed1
