Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true
0,Check for completeness,2023-09-29 09:00:00.000,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
0,New online application received,2023-09-29 09:00:00.000,,,0,New online application received,new online application received,-1,0,0
0,Perform checks,2023-09-29 09:08:36.418,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
0,Make decision,2023-09-29 09:09:43.339,Manager-000001,,0,Make decision,make decision,-1,0,0
0,Notify accept,2023-09-29 09:16:37.243,Manager-000003,,0,Notify accept,notify accept,-1,0,0
0,Deliver card,2023-09-29 09:39:19.386,Manager-000002,,0,Deliver card,deliver card,-1,0,0
0,EVENT 13 END,2023-09-29 09:49:41.170,,,0,EVENT 13 END,event 13 end,-1,0,0
1,Check for completeness,2023-09-29 09:05:24.364,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0
1,New online application received,2023-09-29 09:05:24.364,,,0,New online application received,new online application received,-1,0,0
1,Perform checks,2023-09-29 09:10:28.617,Clerk-000004,,0,Perform checks,perform checks,-1,0,0
1,Make decision,2023-09-29 09:13:51.492,Manager-000002,,0,Make decision,make decision,-1,0,0
1,Notify accept,2023-09-29 09:35:56.908,Manager-000005,,0,Notify accept,notify accept,-1,0,0
1,Deliver card,2023-09-29 09:54:59.797,Manager-000004,,0,Deliver card,deliver card,-1,0,0
1,EVENT 13 END,2023-09-29 10:09:32.104,,,0,EVENT 13 END,event 13 end,-1,0,0
2,Check for completeness,2023-09-29 09:24:45.487,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0
2,New online application received,2023-09-29 09:24:45.487,,,0,New online application received,new online application received,-1,0,0
2,Make decision_signed1,2023-09-29 09:24:45.887,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,0,0,1
2,Perform checks,2023-09-29 09:25:09.241,Clerk-000006,,0,Perform checks,perform checks,-1,0,0
2,Make decision_signed1,2023-09-29 09:25:09.741,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1,0,1
2,Make decision,2023-09-29 09:33:00.179,Manager-000004,,0,Make decision,make decision,2,0,0
2,Notify accept,2023-09-29 09:37:36.568,Manager-000006,,0,Notify accept,notify accept,-1,0,0
2,Make decision_signed1,2023-09-29 09:37:36.968,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,3,0,1
2,Deliver card,2023-09-29 09:38:25.275,Manager-000001,,0,Deliver card,deliver card,-1,0,0
2,Make decision_signed1,2023-09-29 09:38:25.575,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,4,0,1
2,EVENT 13 END,2023-09-29 09:43:20.919,,,0,EVENT 13 END,event 13 end,-1,0,0
2,Make decision_signed1,2023-09-29 09:43:21.119,,collateral events(Make decision),0,Make decision_signed1,make decision,5,0,1
3,Check for completeness,2023-09-29 11:04:02.737,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
3,New online application received,2023-09-29 11:04:02.737,,,0,New online application received,new online application received,-1,0,0
3,Request info,2023-09-29 11:14:01.072,Manager-000006,,0,Request info,request info,-1,0,0
3,info received,2023-09-29 11:22:56.200,,,0,info received,info received,-1,0,0
3,Check for completeness,2023-09-29 11:23:06.200,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0
3,Perform checks,2023-09-29 11:26:10.630,Clerk-000002,,0,Perform checks,perform checks,-1,0,0
3,Make decision,2023-09-29 11:39:44.558,Manager-000003,,0,Make decision,make decision,-1,0,0
3,notify reject,2023-09-29 11:44:04.637,Manager-000002,,0,notify reject,notify reject,-1,0,0
3,time out,2023-09-29 11:55:24.525,,,0,time out,time out,-1,0,0
3,EVENT 13 END,2023-09-29 11:55:34.525,,,0,EVENT 13 END,event 13 end,-1,0,0
4,Check for completeness,2023-09-29 11:34:38.887,Clerk-000004,,0,Check for completeness,check for completeness,-1,0,0
4,New online application received,2023-09-29 11:34:38.887,,,0,New online application received,new online application received,-1,0,0
4,Request info,2023-09-29 11:42:14.147,Manager-000001,,0,Request info,request info,-1,0,0
4,info received,2023-09-29 12:28:45.322,,,0,info received,info received,-1,0,0
4,Check for completeness,2023-09-29 12:28:55.322,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0
4,Perform checks,2023-09-29 12:54:48.341,Clerk-000003,,0,Perform checks,perform checks,-1,0,0
4,Make decision,2023-09-29 13:08:52.312,Manager-000003,,0,Make decision,make decision,-1,0,0
4,Notify accept,2023-09-29 13:20:24.260,Manager-000002,,0,Notify accept,notify accept,-1,0,0
