Case,Activity,Timestamp,Resource,label
0,check for completeness,2023-09-29 09:00:00.000,Clerk-000001,
0,new online application received,2023-09-29 09:00:00.000,,
0,perform checks,2023-09-29 09:08:36.418,Clerk-000003,
0,make decision,2023-09-29 09:09:43.339,Manager-000001,
0,notify accept,2023-09-29 09:16:37.243,Manager-000003,
0,deliver card,2023-09-29 09:39:19.386,Manager-000002,
0,event 13 end,2023-09-29 09:49:41.170,,
1,check for completeness,2023-09-29 09:05:24.364,Clerk-000002,
1,new online application received,2023-09-29 09:05:24.364,,
1,perform checks,2023-09-29 09:10:28.617,Clerk-000004,
1,make decision,2023-09-29 09:13:51.492,Manager-000002,
1,notify accept,2023-09-29 09:35:56.908,Manager-000005,
1,deliver card,2023-09-29 09:54:59.797,Manager-000004,
1,event 13 end,2023-09-29 10:09:32.104,,
2,check for completeness,2023-09-29 09:24:45.487,Clerk-000005,
2,new online application received,2023-09-29 09:24:45.487,,
2,perform checks,2023-09-29 09:25:09.241,Clerk-000006,
2,make decision,2023-09-29 09:33:00.179,Manager-000004,
2,notify accept,2023-09-29 09:37:36.568,Manager-000006,
2,deliver card,2023-09-29 09:38:25.275,Manager-000001,
2,event 13 end,2023-09-29 09:43:20.919,,
3,check for completeness,2023-09-29 11:04:02.737,Clerk-000001,
3,new online application received,2023-09-29 11:04:02.737,,
3,request info,2023-09-29 11:14:01.072,Manager-000006,
3,info received,2023-09-29 11:22:56.200,,
3,check for completeness,2023-09-29 11:23:06.200,Clerk-000003,
3,perform checks,2023-09-29 11:26:10.630,Clerk-000002,synonymous label('Perform checks')
3,make decision,2023-09-29 11:39:44.558,Manager-000003,
3,notify reject,2023-09-29 11:44:04.637,Manager-000002,
3,time out,2023-09-29 11:55:24.525,,
3,event 13 end,2023-09-29 11:55:34.525,,
4,check for completeness,2023-09-29 11:34:38.887,Clerk-000004,
4,new online application received,2023-09-29 11:34:38.887,,
4,request info,2023-09-29 11:42:14.147,Manager-000001,
4,info received,2023-09-29 12:28:45.322,,
4,check for completeness,2023-09-29 12:28:55.322,Clerk-000001,
4,perform checks,2023-09-29 12:54:48.341,Clerk-000003,
4,make decision,2023-09-29 13:08:52.312,Manager-000003,
4,notify accept,2023-09-29 13:20:24.260,Manager-000002,
4,deliver card,2023-09-29 13:31:16.944,Manager-000004,
4,event 13 end,2023-09-29 13:33:29.765,,
5,check for completeness,2023-09-29 11:58:51.818,Clerk-000005,
5,new online application received,2023-09-29 11:58:51.818,,
5,perform checks,2023-09-29 11:59:56.433,Clerk-000006,synonymous label('Perform checks')
5,make decision,2023-09-29 12:06:54.570,Manager-000005,
5,notify accept,2023-09-29 12:13:00.166,Manager-000004,
5,deliver card,2023-09-29 12:15:13.449,Manager-000006,
5,event 13 end,2023-09-29 12:16:48.900,,
6,check for completeness,2023-09-29 13:17:49.926,Clerk-000002,
6,new online application received,2023-09-29 13:17:49.926,,
6,perform checks,2023-09-29 13:41:22.452,Clerk-000003,
6,make decision,2023-09-29 13:45:49.138,Manager-000002,
6,notify accept,2023-09-29 13:46:40.377,Manager-000004,
6,deliver card,2023-09-29 14:12:17.370,Manager-000003,
6,event 13 end,2023-09-29 14:25:51.968,,
7,check for completeness,2023-09-29 13:24:12.521,Clerk-000004,
7,new online application received,2023-09-29 13:24:12.521,,
