190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 5521, performance = 47.95)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 4843, performance = 1.00)
190205 class 3b a205 -> acceptance laboratory research (frequency = 2977, performance = 987.76)
platelet counting - electronically -> potassium potentiometric (frequency = 2372, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190101 overage surcharge  a101 (frequency = 2368, performance = 86397.85)
order tariff -> platelet counting - electronically (frequency = 2299, performance = 1.00)
leukocyte counting electronically -> order tariff (frequency = 2229, performance = 1.00)
potassium potentiometric -> sodium flame photometric (frequency = 1868, performance = 1.00)
hemoglobin photoelectric -> leukocyte counting electronically (frequency = 1556, performance = 1.01)
rhesusfactor d - centrifugeermethode - e -> screening antibodies for erythrocytes (frequency = 1473, performance = 1.00)
sgot - asat kinetisch -> sgpt - kinetisch tool (frequency = 1380, performance = 1.00)
days of rest - all spec.beh.kinderg.-reval. -> 190205 class 3b a205 (frequency = 1339, performance = 86785.94)
sgpt - kinetisch tool -> sodium flame photometric (frequency = 1326, performance = 1.00)
differential count automatically -> follow-up consultation on an outpatient basis (frequency = 1215, performance = 1.00)
order tariff -> potassium potentiometric (frequency = 1169, performance = 1.02)
acceptance laboratory research -> creatinine (frequency = 1154, performance = 1.01)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 1114, performance = 1.01)
albumin -> alkaline phosphatase -kinetic- (frequency = 1030, performance = 1.00)
lactic acid dehydrogenase -ldh- kinetic -> leukocyte counting electronically (frequency = 1018, performance = 1.00)
administrative rate - first pol -> follow-up consultation on an outpatient basis (frequency = 1007, performance = 110253.20)
creatinine -> differential count automatically (frequency = 999, performance = 1.01)
glucose -> hemoglobin photoelectric (frequency = 999, performance = 1.00)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 992, performance = 88.10)
gammaglutamyltranspeptidase -> glucose (frequency = 936, performance = 1.00)
hemoglobin photoelectric -> lactic acid dehydrogenase -ldh- kinetic (frequency = 920, performance = 1.00)
leucocyte counting -electronic- urgent -> order tariff (frequency = 880, performance = 1.00)
acceptance laboratory research -> albumin (frequency = 874, performance = 1.00)
alkaline phosphatase -kinetic- -> bilirubin - total (frequency = 871, performance = 1.00)
follow-up consultation on an outpatient basis -> follow-up consultation on an outpatient basis (frequency = 871, performance = 9347269.47)
bilirubin - total -> bilirubin -conjugated (frequency = 854, performance = 1.00)
sodium flame photometric -> urea (frequency = 826, performance = 1.01)
days of rest - all spec.beh.kinderg.-reval. -> hemoglobin photoelectric (frequency = 814, performance = 1.01)
