190101 overage surcharge  a101 -> 190205 class 3b a205 (frequency = 5688, performance = 54242.39)
190205 class 3b a205 -> days of rest - all spec.beh.kinderg.-reval. (frequency = 4969, performance = 20969.35)
190205 class 3b a205 -> acceptance laboratory research (frequency = 3056, performance = 56911.28)
days of rest - all spec.beh.kinderg.-reval. -> 190101 overage surcharge  a101 (frequency = 2440, performance = 54317.71)
platelet counting - electronically -> potassium potentiometric (frequency = 2431, performance = 107.62)
order tariff -> platelet counting - electronically (frequency = 2359, performance = 1246.29)
leukocyte counting electronically -> order tariff (frequency = 2290, performance = 5811.26)
potassium potentiometric -> sodium flame photometric (frequency = 1916, performance = 271.56)
hemoglobin photoelectric -> leukocyte counting electronically (frequency = 1590, performance = 9347.31)
rhesusfactor d - centrifugeermethode - e -> screening antibodies for erythrocytes (frequency = 1526, performance = 0.98)
sgot - asat kinetisch -> sgpt - kinetisch tool (frequency = 1432, performance = 1.05)
sgpt - kinetisch tool -> sodium flame photometric (frequency = 1366, performance = 0.94)
days of rest - all spec.beh.kinderg.-reval. -> 190205 class 3b a205 (frequency = 1340, performance = 70859.70)
differential count automatically -> follow-up consultation on an outpatient basis (frequency = 1254, performance = 26802.78)
acceptance laboratory research -> creatinine (frequency = 1180, performance = 160132.79)
order tariff -> potassium potentiometric (frequency = 1180, performance = 586.74)
creatinine -> days of rest - all spec.beh.kinderg.-reval. (frequency = 1131, performance = 3438.50)
albumin -> alkaline phosphatase -kinetic- (frequency = 1066, performance = 181067.80)
lactic acid dehydrogenase -ldh- kinetic -> leukocyte counting electronically (frequency = 1046, performance = 0.96)
administrative rate - first pol -> follow-up consultation on an outpatient basis (frequency = 1030, performance = 2874268.37)
creatinine -> differential count automatically (frequency = 1028, performance = 103209.81)
glucose -> hemoglobin photoelectric (frequency = 1028, performance = 1.00)
190021 clinical admission a002 -> 190101 overage surcharge  a101 (frequency = 1025, performance = 176760.79)
gammaglutamyltranspeptidase -> glucose (frequency = 961, performance = 0.96)
hemoglobin photoelectric -> lactic acid dehydrogenase -ldh- kinetic (frequency = 940, performance = 1.05)
leucocyte counting -electronic- urgent -> order tariff (frequency = 902, performance = 0.99)
alkaline phosphatase -kinetic- -> bilirubin - total (frequency = 900, performance = 96960.83)
