send confirmation receipt_signed1 -> send confirmation receipt_signed2 (frequency = 1490, performance = 0.37)
send confirmation receipt_signed2 -> send confirmation receipt_signed1 (frequency = 627, performance = 0.35)
send confirmation receipt -> send confirmation receipt (frequency = 438, performance = 130.13)
regular procedure without MER -> send confirmation receipt (frequency = 364, performance = 1.00)
send confirmation receipt -> start WABOprocedure (frequency = 363, performance = 741.69)
request complete -> send letter in progress (frequency = 331, performance = 5482.56)
forward to the competent authority -> phase application received (frequency = 327, performance = 1.00)
registration date publication -> regular procedure without MER (frequency = 322, performance = 1.00)
creating environmental permit decision -> decision date prior to decision (frequency = 312, performance = 1.00)
OLO messaging active -> create procedure confirmation (frequency = 304, performance = 1.00)
phase decision sent -> phase decision taken (frequency = 295, performance = 1.00)
create procedure confirmation -> create publication document (frequency = 292, performance = 15777.67)
enter senddate decision -> enter senddate decision environmental permit (frequency = 292, performance = 1.00)
grounds for refusal -> phase advice known (frequency = 291, performance = 1.00)
phase advice known -> phase application receptive (frequency = 288, performance = 1.00)
register submission date request -> phase application received (frequency = 267, performance = 461928.20)
register submission date request -> OLO messaging active (frequency = 263, performance = 510548.51)
article 34  WABO applies -> ask stakeholders views (frequency = 261, performance = 1.00)
request complete -> phase advice known (frequency = 246, performance = 88314.82)
send letter in progress -> set decision status (frequency = 237, performance = 1.00)
procedure change -> request complete (frequency = 231, performance = 1.15)
set decision phase decision permitting decided -> start decision phase decision permitting sent (frequency = 223, performance = 12398.50)
enter senddate decision environmental permit -> phase decision sent (frequency = 215, performance = 1.04)
phase application received -> send confirmation receipt (frequency = 214, performance = 7734.31)
send confirmation receipt -> send procedure confirmation (frequency = 210, performance = 11990.55)
generating decision environmental permit -> grounds for refusal (frequency = 199, performance = 1.00)
send confirmation receipt_signed2 -> send confirmation receipt_signed2 (frequency = 193, performance = 0.27)
register submission date request -> enter senddate acknowledgement (frequency = 187, performance = 706214.36)
regular procedure without MER -> start WABOprocedure (frequency = 182, performance = 1.00)
submit decision -> suspension ground applicable (frequency = 180, performance = 1.00)
by law -> completed subcases content (frequency = 179, performance = 1.00)
ask stakeholders views -> assessment of content completed (frequency = 177, performance = 1.00)
completed subcases content -> coordination of application (frequency = 177, performance = 1.00)
procedure change -> procedure change (frequency = 174, performance = 1.00)
assessment of content completed -> by law (frequency = 169, performance = 1.00)
phase advice known -> grounds for refusal (frequency = 167, performance = 2.33)
enter senddate acknowledgement -> enter senddate procedure confirmation (frequency = 162, performance = 743289.03)
record date of decision environmental permit -> set decision phase decision permitting decided (frequency = 160, performance = 1.00)
create publication document -> create subcases completeness (frequency = 158, performance = 1.00)
enter senddate decision environmental permit -> generating decision environmental permit (frequency = 155, performance = 1.00)
create publication document -> forward to the competent authority (frequency = 152, performance = 1.00)
phase advice known -> creating environmental permit decision (frequency = 149, performance = 152267.76)
phase decision taken -> register objection and appeal periods (frequency = 148, performance = 1.00)
start WABOprocedure -> article 34  WABO applies (frequency = 145, performance = 2525898.88)
send confirmation receipt -> regular procedure without MER (frequency = 143, performance = 17068.20)
create subcases completeness -> forward to the competent authority (frequency = 141, performance = 1.00)
set decision status -> submit decision (frequency = 141, performance = 1777.88)
phase decision ready -> phase decision sent (frequency = 139, performance = 1.53)
transcript decision environmental permit to stakeholders -> enter senddate decision environmental permit (frequency = 139, performance = 136059.78)
ask stakeholders views -> by law (frequency = 134, performance = 1.00)
enter senddate decision environmental permit -> register date environmental permit decision (frequency = 132, performance = 1.00)
phase application received -> registration date publication (frequency = 131, performance = 1.00)
publish -> registration date publication (frequency = 129, performance = 1.00)
creating environmental permit decision -> register date environmental permit decision (frequency = 125, performance = 479441.74)
creating cover letter decision -> enter senddate decision (frequency = 123, performance = 1.00)
phase application receptive -> phase decision ready (frequency = 123, performance = 1.00)
by law -> creating environmental permit decision (frequency = 120, performance = 1.02)
register date environmental permit decision -> enter date publication decision environmental permit (frequency = 120, performance = 670289.91)
phase application receptive -> procedure change (frequency = 118, performance = 1.00)
suspension ground applicable -> treat subcases content (frequency = 117, performance = 1.00)
phase application received -> publish (frequency = 115, performance = 1.00)
procedure change -> procedure change after completeness (frequency = 111, performance = 1.00)
send procedure confirmation -> request complete (frequency = 109, performance = 2264672.96)
creating cover letter decision -> creating environmental permit decision (frequency = 108, performance = 1.00)
enter senddate decision environmental permit -> record date of decision environmental permit (frequency = 108, performance = 403.14)
suspension ground applicable -> by law (frequency = 108, performance = 1.00)
register objection and appeal periods -> set decision phase decision permitting decided (frequency = 104, performance = 1.00)
request complete -> retrieve missing data (frequency = 104, performance = 1.00)
by law -> coordination of application (frequency = 103, performance = 1.00)
creating environmental permit decision -> enter senddate decision environmental permit (frequency = 103, performance = 792481.17)
suspension ground applicable -> transcript decision environmental permit to stakeholders (frequency = 101, performance = 9280.99)
decision date prior to decision -> generating decision environmental permit (frequency = 98, performance = 1.00)
send confirmation receipt -> send confirmation receipt_signed1 (frequency = 97, performance = 0.45)
submit decision -> transcript decision environmental permit to stakeholders (frequency = 96, performance = 93.77)
register submission date request -> send confirmation receipt (frequency = 94, performance = 1509662.90)
enter senddate procedure confirmation -> registrer date of publishing received request (frequency = 91, performance = 454787.84)
phase decision taken -> procedure change (frequency = 91, performance = 1.00)
grounds for refusal -> ask stakeholders views (frequency = 90, performance = 1.00)
phase decision ready -> procedure change (frequency = 89, performance = 1.00)
set decision status -> suspension ground applicable (frequency = 89, performance = 1.00)
retrieve missing data -> term for supplying missing data (frequency = 81, performance = 1.00)
send confirmation receipt_signed2 -> send confirmation receipt (frequency = 81, performance = 71355.06)
generating decision environmental permit -> phase decision ready (frequency = 80, performance = 1.00)
send letter in progress -> treat subcases content (frequency = 80, performance = 1.45)
assessment of content completed -> phase advice known (frequency = 79, performance = 1.00)
treat subcases content -> completed subcases content (frequency = 79, performance = 1.01)
phase application received -> terminate on request (frequency = 78, performance = 1.00)
register objection and appeal periods -> request complete (frequency = 78, performance = 1.00)
terminate on request -> send confirmation receipt (frequency = 78, performance = 36.92)
create subcases content -> creating environmental permit decision (frequency = 77, performance = 1.00)
coordination of application -> creating environmental permit decision (frequency = 76, performance = 1.00)
phase archived case -> phase case handled (frequency = 76, performance = 1.00)
start WABOprocedure -> create letter requesting missing data (frequency = 76, performance = 2282712.42)
ask stakeholders views -> suspension ground applicable (frequency = 74, performance = 1.00)
coordination of application -> create subcases completeness (frequency = 74, performance = 1.00)
coordination of application -> create subcases content (frequency = 74, performance = 1.00)
article 34  WABO applies -> assessment of content completed (frequency = 72, performance = 1.00)
decision date prior to decision -> enter senddate decision (frequency = 72, performance = 1.00)
enter senddate decision environmental permit -> enter date publication decision environmental permit (frequency = 71, performance = 497662.49)
decision date prior to decision -> grounds for refusal (frequency = 70, performance = 1.00)
phase decision irrevocable -> read publication date field (frequency = 70, performance = 1.00)
register submission date request -> send confirmation receipt_signed1 (frequency = 70, performance = 0.54)
register date environmental permit decision -> enter senddate decision environmental permit (frequency = 69, performance = 229861.62)
send procedure confirmation -> registration date publication (frequency = 68, performance = 849962.43)
read publication date field -> read publication date field (frequency = 67, performance = 1.00)
read publication date field -> stop all running subcases 2b (frequency = 66, performance = 8248.05)
registrer date of publishing received request -> request complete (frequency = 66, performance = 949370.00)
enter senddate procedure confirmation -> enter senddate procedure confirmation (frequency = 65, performance = 219378.98)
