forward to the competent authority -> phase application received (frequency = 361, performance = 1.00)
send confirmation receipt -> send confirmation receipt (frequency = 359, performance = 136.49)
registration date publication -> regular procedure without MER (frequency = 355, performance = 1.00)
creating environmental permit decision -> decision date prior to decision (frequency = 342, performance = 1.00)
OLO messaging active -> create procedure confirmation (frequency = 331, performance = 1.00)
phase decision sent -> phase decision taken (frequency = 320, performance = 1.00)
grounds for refusal -> phase advice known (frequency = 319, performance = 1.00)
create procedure confirmation -> create publication document (frequency = 318, performance = 14487.75)
phase advice known -> phase application receptive (frequency = 316, performance = 1.00)
regular procedure without MER -> send confirmation receipt (frequency = 300, performance = 1.00)
send confirmation receipt -> start WABOprocedure (frequency = 298, performance = 1.19)
article 34  WABO applies -> ask stakeholders views (frequency = 279, performance = 1.00)
request complete -> send letter in progress (frequency = 260, performance = 6979.44)
send letter in progress -> set decision status (frequency = 254, performance = 1.00)
set decision phase decision permitting decided -> start decision phase decision permitting sent (frequency = 243, performance = 11378.13)
enter senddate decision -> enter senddate decision environmental permit (frequency = 229, performance = 1.00)
register submission date request -> OLO messaging active (frequency = 219, performance = 537771.23)
generating decision environmental permit -> grounds for refusal (frequency = 215, performance = 1.00)
register submission date request -> phase application received (frequency = 205, performance = 467946.33)
regular procedure without MER -> start WABOprocedure (frequency = 202, performance = 1.00)
by law -> completed subcases content (frequency = 194, performance = 1.00)
ask stakeholders views -> assessment of content completed (frequency = 193, performance = 1.00)
submit decision -> suspension ground applicable (frequency = 193, performance = 1.00)
completed subcases content -> coordination of application (frequency = 190, performance = 1.00)
procedure change -> request complete (frequency = 189, performance = 1.17)
assessment of content completed -> by law (frequency = 182, performance = 1.00)
phase application received -> send confirmation receipt (frequency = 175, performance = 9429.28)
phase advice known -> grounds for refusal (frequency = 174, performance = 2.28)
create publication document -> create subcases completeness (frequency = 172, performance = 1.00)
record date of decision environmental permit -> set decision phase decision permitting decided (frequency = 170, performance = 1.00)
create publication document -> forward to the competent authority (frequency = 169, performance = 1.00)
send confirmation receipt -> send procedure confirmation (frequency = 169, performance = 113.73)
enter senddate acknowledgement -> enter senddate procedure confirmation (frequency = 165, performance = 729774.70)
request complete -> phase advice known (frequency = 165, performance = 80047.62)
start WABOprocedure -> article 34  WABO applies (frequency = 160, performance = 2518813.69)
phase decision taken -> register objection and appeal periods (frequency = 159, performance = 1.00)
phase advice known -> creating environmental permit decision (frequency = 158, performance = 143623.99)
enter senddate decision environmental permit -> phase decision sent (frequency = 157, performance = 1.06)
create subcases completeness -> forward to the competent authority (frequency = 151, performance = 1.00)
set decision status -> submit decision (frequency = 149, performance = 1682.48)
phase decision ready -> phase decision sent (frequency = 147, performance = 1.50)
phase application received -> registration date publication (frequency = 145, performance = 1.00)
ask stakeholders views -> by law (frequency = 142, performance = 1.00)
procedure change -> procedure change (frequency = 140, performance = 1.00)
publish -> registration date publication (frequency = 140, performance = 1.00)
phase application receptive -> phase decision ready (frequency = 131, performance = 1.00)
creating environmental permit decision -> register date environmental permit decision (frequency = 130, performance = 494160.61)
register date environmental permit decision -> enter date publication decision environmental permit (frequency = 130, performance = 664900.40)
by law -> creating environmental permit decision (frequency = 129, performance = 1.02)
creating cover letter decision -> enter senddate decision (frequency = 129, performance = 1.00)
phase application received -> publish (frequency = 127, performance = 1.00)
suspension ground applicable -> treat subcases content (frequency = 127, performance = 1.00)
register submission date request -> enter senddate acknowledgement (frequency = 124, performance = 693782.10)
enter senddate decision environmental permit -> generating decision environmental permit (frequency = 122, performance = 1.00)
creating cover letter decision -> creating environmental permit decision (frequency = 120, performance = 1.00)
suspension ground applicable -> by law (frequency = 116, performance = 1.00)
register objection and appeal periods -> set decision phase decision permitting decided (frequency = 114, performance = 1.00)
suspension ground applicable -> transcript decision environmental permit to stakeholders (frequency = 110, performance = 8521.72)
by law -> coordination of application (frequency = 109, performance = 1.00)
send confirmation receipt -> regular procedure without MER (frequency = 109, performance = 11130.15)
transcript decision environmental permit to stakeholders -> enter senddate decision environmental permit (frequency = 105, performance = 144891.17)
decision date prior to decision -> generating decision environmental permit (frequency = 104, performance = 1.00)
submit decision -> transcript decision environmental permit to stakeholders (frequency = 100, performance = 90.86)
enter senddate decision environmental permit -> register date environmental permit decision (frequency = 96, performance = 1.00)
set decision status -> suspension ground applicable (frequency = 96, performance = 1.00)
phase application receptive -> procedure change (frequency = 95, performance = 1.00)
grounds for refusal -> ask stakeholders views (frequency = 94, performance = 1.00)
enter senddate procedure confirmation -> registrer date of publishing received request (frequency = 91, performance = 454787.84)
assessment of content completed -> phase advice known (frequency = 90, performance = 1.00)
send letter in progress -> treat subcases content (frequency = 88, performance = 1.41)
treat subcases content -> completed subcases content (frequency = 86, performance = 1.01)
generating decision environmental permit -> phase decision ready (frequency = 85, performance = 1.00)
procedure change -> procedure change after completeness (frequency = 85, performance = 1.00)
request complete -> retrieve missing data (frequency = 84, performance = 1.00)
retrieve missing data -> term for supplying missing data (frequency = 84, performance = 1.00)
phase application received -> terminate on request (frequency = 83, performance = 1.00)
phase archived case -> phase case handled (frequency = 83, performance = 1.00)
enter senddate decision environmental permit -> record date of decision environmental permit (frequency = 82, performance = 1.00)
coordination of application -> create subcases completeness (frequency = 81, performance = 1.00)
create subcases content -> creating environmental permit decision (frequency = 81, performance = 1.00)
send procedure confirmation -> request complete (frequency = 81, performance = 2417672.58)
ask stakeholders views -> suspension ground applicable (frequency = 80, performance = 1.00)
start WABOprocedure -> create letter requesting missing data (frequency = 80, performance = 2329449.85)
article 34  WABO applies -> assessment of content completed (frequency = 78, performance = 1.00)
coordination of application -> creating environmental permit decision (frequency = 78, performance = 1.00)
creating environmental permit decision -> enter senddate decision environmental permit (frequency = 78, performance = 861740.03)
decision date prior to decision -> enter senddate decision (frequency = 77, performance = 1.00)
coordination of application -> create subcases content (frequency = 76, performance = 1.00)
phase decision irrevocable -> read publication date field (frequency = 75, performance = 1.00)
register submission date request -> send confirmation receipt (frequency = 75, performance = 1724245.76)
send procedure confirmation -> registration date publication (frequency = 75, performance = 843770.48)
decision date prior to decision -> grounds for refusal (frequency = 74, performance = 1.00)
read publication date field -> read publication date field (frequency = 73, performance = 1.00)
phase decision ready -> procedure change (frequency = 71, performance = 1.00)
read publication date field -> stop all running subcases 2b (frequency = 71, performance = 7667.27)
enter senddate procedure confirmation -> send procedure confirmation (frequency = 70, performance = 58822.29)
phase case handled -> phase decision irrevocable (frequency = 68, performance = 1.00)
phase decision taken -> procedure change (frequency = 68, performance = 1.00)
start WABOprocedure -> enter senddate procedure confirmation (frequency = 67, performance = 476.40)
record date of decision environmental permit -> register objection and appeal periods (frequency = 66, performance = 1.00)
register objection and appeal periods -> transcript decision environmental permit to stakeholders (frequency = 66, performance = 1.00)
treat subcases content -> creating cover letter decision (frequency = 66, performance = 654847.35)
enter date decision procedure term extension -> enter senddate decision procedure term extension (frequency = 65, performance = 5201.26)
enter senddate procedure confirmation -> enter senddate procedure confirmation (frequency = 65, performance = 219378.98)
phase advice known -> ask stakeholders views (frequency = 64, performance = 1.00)
phase decision taken -> record date of decision environmental permit (frequency = 64, performance = 1.00)
enter receipt of additional data -> phase additional information received (frequency = 63, performance = 37088.44)
phase additional information received -> receive additional information (frequency = 62, performance = 1.00)
register date environmental permit decision -> transcript decision environmental permit to stakeholders (frequency = 61, performance = 35012.89)
set decision phase decision permitting decided -> set decision status (frequency = 61, performance = 1.00)
start decision phase decision permitting sent -> transcript decision environmental permit to stakeholders (frequency = 60, performance = 1.00)
register objection and appeal periods -> request complete (frequency = 59, performance = 1.00)
start WABOprocedure -> send procedure confirmation (frequency = 58, performance = 41.22)
start decision phase decision permitting sent -> submit decision (frequency = 57, performance = 7179.74)
create letter requesting missing data -> create subcases completeness (frequency = 55, performance = 1.00)
objection lodged against decision -> phase archived case (frequency = 54, performance = 1.00)
transcript decision environmental permit to stakeholders -> treat subcases content (frequency = 54, performance = 1.00)
enter senddate decision environmental permit -> enter date publication decision environmental permit (frequency = 53, performance = 502099.28)
create publication document -> creating cover letter decision (frequency = 51, performance = 1.00)
enter senddate decision environmental permit -> start decision phase decision permitting sent (frequency = 51, performance = 1.00)
terminate on request -> send confirmation receipt (frequency = 51, performance = 55.75)
transcript decision environmental permit to stakeholders -> enter date publication decision environmental permit (frequency = 51, performance = 715321.98)
procedure change after completeness -> request complete (frequency = 50, performance = 1.00)
send confirmation receipt additional data -> send letter in progress (frequency = 50, performance = 1.00)
procedure change -> register objection and appeal periods (frequency = 49, performance = 1.00)
register date environmental permit decision -> enter senddate decision environmental permit (frequency = 49, performance = 217495.16)
registrer date of publishing received request -> request complete (frequency = 49, performance = 1149498.84)
create procedure confirmation -> forward to the competent authority (frequency = 47, performance = 1.00)
ask stakeholders views -> grounds for refusal (frequency = 46, performance = 1.00)
procedure change -> publish (frequency = 46, performance = 1.00)
set decision status -> start decision phase decision permitting sent (frequency = 46, performance = 1.00)
grounds for refusal -> suspension ground applicable (frequency = 45, performance = 1.60)
phase application received -> regular procedure without MER (frequency = 45, performance = 34435.96)
register deadline -> set phase: phase permitting irrevocable (frequency = 45, performance = 71165.09)
registration date publication -> request complete (frequency = 45, performance = 2973054.96)
send letter in progress -> set decision phase decision permitting decided (frequency = 45, performance = 1.00)
phase asked additional information -> procedure change (frequency = 44, performance = 1.00)
create subcases completeness -> create subcases content (frequency = 42, performance = 1.00)
procedure change -> article 34  WABO applies (frequency = 42, performance = 115201.14)
