Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous,label
10009138,2014-04-11 07:01:19,9264148,register submission date request,register submission date request,0,
10009138,2014-04-14 07:00:30,9264148,OLO messaging active,OLO messaging active,0,
10009138,2014-04-14 07:00:31,9264148,create procedure confirmation,create procedure confirmation,0,
10009138,2014-04-14 07:00:32,9264148,create publication document,create publication document,0,
10009138,2014-04-14 07:00:33,9264148,create subcases completeness,create subcases completeness,0,
10009138,2014-04-14 07:00:34,9264148,forward to the competent authority,forward to the competent authority,0,
10009138,2014-04-14 07:00:35,9264148,phase application received,phase application received,0,
10009138,2014-04-14 07:00:36,9264148,registration date publication,registration date publication,0,
10009138,2014-04-14 07:00:37,9264148,regular procedure without MER,regular procedure without MER,0,
10009138,2014-04-14 07:00:38,9264148,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10009138,2014-04-14 07:00:39,9264148,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10009138,2014-04-14 07:00:40,9264148,start WABOprocedure,start WABOprocedure,0,
10009138,2014-05-20 07:00:36,2670601,article 34  WABO applies,article 34  WABO applies,0,
10009138,2014-05-20 07:00:37,2670601,ask stakeholders views,ask stakeholders views,0,
10009138,2014-05-20 07:00:38,2670601,assessment of content completed,assessment of content completed,0,
10009138,2014-05-20 07:00:39,2670601,by law,by law,0,
10009138,2014-05-20 07:00:40,2670601,completed subcases content,completed subcases content,0,
10009138,2014-05-20 07:00:41,2670601,coordination of application,coordination of application,0,
10009138,2014-05-20 07:00:42,2670601,creating environmental permit decision,creating environmental permit decision,0,
10009138,2014-05-20 07:00:43,2670601,decision date prior to decision,decision date prior to decision,0,
10009138,2014-05-20 07:00:44,2670601,generating decision environmental permit,generating decision environmental permit,0,
10009138,2014-05-20 07:00:45,2670601,grounds for refusal,grounds for refusal,0,
10009138,2014-05-20 07:00:46,2670601,phase advice known,phase advice known,0,
10009138,2014-05-20 07:00:47,2670601,phase application receptive,phase application receptive,0,
10009138,2014-05-20 07:00:48,2670601,phase decision ready,phase decision ready,0,
10009138,2014-05-20 07:00:49,2670601,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10009138,2014-05-20 07:00:50,2670601,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10009138,2014-05-20 07:00:51,2670601,request complete,request complete,0,
10009138,2014-05-20 07:00:52,2670601,send letter in progress,send letter in progress,0,
10009138,2014-05-20 07:00:53,2670601,set decision status,set decision status,0,
10009138,2014-05-20 07:00:54,2670601,submit decision,submit decision,0,
10009138,2014-05-20 07:00:55,2670601,suspension ground applicable,suspension ground applicable,0,
10009138,2014-05-20 07:00:56,2670601,treat subcases content,treat subcases content,0,
10009138,2014-06-04 07:00:01,560912,creating cover letter decision,creating cover letter decision,0,
