Case,Activity,Timestamp,Resource,Event,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,Activity_fixed
2771451,enter senddate retrieve missing data,2010-11-18 08:00:01,6,8119,,0,enter senddate retrieve missing data,enter senddate retrieve missing data,257,0,enter senddate retrieve missing data
2771451,request complete,2010-12-01 18:54:01,2670601,8149,,0,request complete,request complete,276,0,request complete
2771451,phase advice known,2010-12-01 18:54:20,2670601,8155,,0,phase advice known,phase advice known,3162,0,phase advice known
2771451,creating environmental permit decision,2010-12-01 18:54:48,2670601,8161,,0,creating environmental permit decision,creating environmental permit decision,2107,0,creating environmental permit decision
2782209,register submission date request,2010-10-06 07:00:01,560925,8169,,0,register submission date request,register submission date request,3154,0,register submission date request
2782209,enter date publication decision environmental permit,2010-11-24 08:00:01,560890,8206,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,3163,0,enter date publication decision environmental permit
2783345,enter senddate procedure confirmation,2010-10-11 07:00:01,2670601,8210,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3161,0,enter senddate procedure confirmation
2783345,registrer date of publishing received request,2010-10-11 07:00:02,2670601,8208,,0,registrer date of publishing received request,registrer date of publishing received request,3168,0,registrer date of publishing received request
2783345,request complete,2010-12-01 18:37:30,2670601,8236,,0,request complete,request complete,3138,0,request complete
2783345,phase advice known,2010-12-01 18:38:01,2670601,8242,,0,phase advice known,phase advice known,3164,0,phase advice known
2797217,enter senddate procedure confirmation,2010-10-15 07:00:01,560872,8287,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3165,0,enter senddate procedure confirmation
2797217,request complete,2010-10-25 22:23:00,560872,8304,,0,request complete,request complete,3166,0,request complete
2814003,request complete,2010-11-08 19:29:03,560912,8369,,0,request complete,request complete,3112,0,request complete
2814003,phase advice known,2010-11-08 19:29:58,560912,8376,,0,phase advice known,phase advice known,3143,0,phase advice known
2817543,phase advice known,2011-03-04 20:32:16,560872,8434,,0,phase advice known,phase advice known,3144,0,phase advice known
2817543,creating environmental permit decision,2011-05-12 18:40:32,560462,8456,,0,creating environmental permit decision,creating environmental permit decision,3105,0,creating environmental permit decision
2824783,register submission date request,2010-10-27 07:00:04,560925,8466,,0,register submission date request,register submission date request,3114,0,register submission date request
2824783,send confirmation receipt,2011-07-08 17:54:09,2670601,8469,,0,send confirmation receipt,send confirmation receipt,3145,0,send confirmation receipt
2830183,request complete,2010-12-09 00:45:33,560881,8502,,0,request complete,request complete,3115,0,request complete
2831567,registrer date of publishing received request,2010-11-10 08:00:01,560912,8530,,0,registrer date of publishing received request,registrer date of publishing received request,2977,0,registrer date of publishing received request
2831567,register date environmental permit decision,2010-12-06 08:00:04,560890,8531,,0,register date environmental permit decision,register date environmental permit decision,3116,0,register date environmental permit decision
2831567,creating environmental permit decision,2010-12-07 20:59:28,560890,8553,,0,creating environmental permit decision,creating environmental permit decision,3086,0,creating environmental permit decision
2832460,register submission date request,2010-11-01 08:00:03,560912,8560,,0,register submission date request,register submission date request,3117,0,register submission date request
2832460,register date environmental permit decision,2011-02-01 08:00:01,560890,8596,,0,register date environmental permit decision,register date environmental permit decision,3008,0,register date environmental permit decision
2832460,decision extension procedure term irrevocable,2011-02-01 23:18:04,560890,8600,,0,decision extension procedure term irrevocable,decision extension procedure term irrevocable,3087,0,decision extension procedure term irrevocable
2833073,register submission date request,2010-10-25 07:00:03,560912,8607,,0,register submission date request,register submission date request,3118,0,register submission date request
2838476,register submission date request,2010-10-26 07:00:02,560925,8642,,0,register submission date request,register submission date request,3088,0,register submission date request
2838476,enter senddate procedure confirmation,2010-11-04 08:00:01,560925,8643,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3119,0,enter senddate procedure confirmation
2838476,register date environmental permit decision,2010-12-16 08:00:01,560890,8676,,0,register date environmental permit decision,register date environmental permit decision,3120,0,register date environmental permit decision
2839858,phase advice known,2010-11-29 19:38:47,560872,8701,,0,phase advice known,phase advice known,3089,0,phase advice known
2839858,enter senddate procedure confirmation,2010-11-30 08:00:01,560872,8711,,0,enter senddate procedure confirmation,enter senddate procedure confirmation,3052,0,enter senddate procedure confirmation
2839858,enter senddate decision environmental permit,2010-12-06 08:00:05,560872,8713,,0,enter senddate decision environmental permit,enter senddate decision environmental permit,3121,0,enter senddate decision environmental permit
2840219,request complete,2010-11-26 00:11:35,560872,8735,,0,request complete,request complete,3072,0,request complete
2840219,phase advice known,2010-11-26 00:11:51,560872,8741,,0,phase advice known,phase advice known,3122,0,phase advice known
2840219,creating environmental permit decision,2010-11-26 00:12:12,560872,8747,,0,creating environmental permit decision,creating environmental permit decision,3090,0,creating environmental permit decision
2840219,enter date publication decision environmental permit,2010-12-08 08:00:03,560872,8755,,0,enter date publication decision environmental permit,enter date publication decision environmental permit,3123,0,enter date publication decision environmental permit
2840553,request complete,2010-11-25 20:53:44,560872,8776,,0,request complete,request complete,3074,0,request complete
