Case,Timestamp,original_activity,Activity_fixed,label
2838476,2010-12-16 08:00:01,registebr date environmental permit decision,enter senddate decision environmental permit,distorted label(Insert)
2874224,2010-11-24 08:00:05,enter senddate procedure confirkation,enter senddate procedure confirmation,distorted label(Proximity)
2879904,2011-01-19 08:00:02,enter senddate procedurQe confirmation,enter senddate procedure confirmation,distorted label(Insert)
2887729,2011-10-28 18:03:23,Regular procedure without MER,regular procedure without MER,distorted label(UpLow)
2887729,2011-10-28 18:03:29,aplicant is stakeholder,applicant is stakeholder,distorted label(Skip)
2902319,2011-02-08 18:07:21,request complet,request complete,distorted label(Skip)
2931527,2010-12-15 08:00:12,enter senddate procdeure confirmation,enter senddate procedure confirmation,distorted label(Interchange)
2952306,2010-12-23 08:00:09,enter senddate procedure vonfirmation,enter senddate procedure confirmation,distorted label(Proximity)
2953434,2011-02-14 08:00:01,Register date environmental permit decision,enter senddate decision environmental permit,distorted label(UpLow)
2985791,2011-02-28 08:00:02,registrer date of publishing rceived request,registrer date of publishing received request,distorted label(Skip)
3019065,2011-01-20 08:00:01,enter senddate acknowledegment,enter senddate acknowledgement,distorted label(Interchange)
3084709,2011-02-23 08:00:13,Register date environmental permit decision,enter senddate decision environmental permit,distorted label(UpLow)
3097714,2011-01-31 08:00:05,ented senddate acknowledgement,enter senddate acknowledgement,distorted label(Proximity)
3113605,2011-02-22 08:00:11,enter senddate procedure cofirmation,enter senddate procedure confirmation,distorted label(Skip)
3113605,2011-03-16 20:42:27,Request complete,request complete,distorted label(UpLow)
3115575,2011-02-03 08:00:04,enter senddate acknowledgdment,enter senddate acknowledgement,distorted label(Proximity)
3130787,2011-02-22 08:00:17,enter senddate procedure confitmation,enter senddate procedure confirmation,distorted label(Proximity)
3130787,2011-05-09 07:00:01,regDister deadline,register deadline,distorted label(Insert)
3151204,2011-02-14 08:00:15,enter senddate cknowledgement,enter senddate acknowledgement,distorted label(Skip)
3151204,2011-03-16 08:00:15,Enter senddate procedure confirmation,enter senddate procedure confirmation,distorted label(UpLow)
3197502,2011-04-06 07:00:06,enter date publication decision environmmental permit,enter senddate decision environmental permit,distorted label(Insert)
3207862,2011-04-13 07:00:10,enter senddate procedure confirmstion,enter senddate procedure confirmation,distorted label(Proximity)
3225456,2011-02-18 08:00:04,register submission dater equest,register submission date request,distorted label(Interchange)
3232189,2012-03-28 07:00:01,Register date decision terminate on request,register date decision terminate on request,distorted label(UpLow)
3256221,2013-11-25 08:00:05,read field phased app/ication,read field phased application,distorted label(Proximity)
3262171,2011-05-03 07:00:07,enter senddate decision procedure term exFtension,enter senddate decision procedure term extension,distorted label(Insert)
3265011,2011-03-30 18:37:13,suspension ground applicablse,suspension ground applicable,distorted label(Insert)
3265011,2011-04-13 07:00:13,enter date publicationd ecision environmental permit,enter senddate decision environmental permit,distorted label(Interchange)
3292122,2011-04-19 23:01:19,rqeuest complete,request complete,distorted label(Interchange)
3330161,2011-04-22 07:00:01,enter senddate procedure confirmoation,enter senddate procedure confirmation,distorted label(Insert)
3356696,2011-04-21 07:00:14,enter senddate acknow/edgement,enter senddate acknowledgement,distorted label(Proximity)
3407887,2011-05-23 15:20:32,bg law,bg law,distorted label(Proximity)
3438592,2011-05-11 07:00:05,register submbission date request,register submission date request,distorted label(Insert)
3456494,2011-05-26 07:00:07,enter senddate acknowledgemnt,enter senddate acknowledgement,distorted label(Skip)
3458528,2011-06-21 07:00:12,enter senddatae decision environmental permit,enter senddate decision environmental permit,distorted label(Insert)
3459618,2011-06-06 16:57:48,By law,by law,distorted label(UpLow)
3460499,2011-05-23 07:00:06,Register submission date request,register submission date request,distorted label(UpLow)
3460499,2011-06-24 16:27:12,Suspension ground applicable,suspension ground applicable,distorted label(UpLow)
3537750,2011-08-04 21:01:02,genrate publication document decision environmental permit,enter senddate decision environmental permit,distorted label(Skip)
3598533,2011-07-29 18:53:38,no pHermit needed or only notification needed,no permit needed or only notification needed,distorted label(Insert)
3601105,2011-07-08 16:58:07,send procecure confirmation,enter senddate procedure confirmation,distorted label(Proximity)
3604677,2012-03-20 18:38:31,creating environmental permit deciRsion,enter senddate decision environmental permit,distorted label(Insert)
3622039,2011-08-26 22:55:13,completed Nsubcases content,treat subcases content,distorted label(Insert)
3642802,2011-10-28 23:15:20,pmhase application received,phase application received,distorted label(Insert)
3693886,2011-09-15 22:53:08,send confirmation recei;t,send confirmation receipt,distorted label(Proximity)
3693886,2011-09-29 22:04:00,send letter in progresws,send letter in progress,distorted label(Insert)
3748812,2011-08-19 07:00:02,enter senddzate procedure confirmation,enter senddate procedure confirmation,distorted label(Insert)
3748812,2011-09-12 18:43:18,groudns for refusal,grounds for refusal,distorted label(Interchange)
3755625,2011-08-29 17:53:23,creating environmental permitd ecision,enter senddate decision environmental permit,distorted label(Interchange)
3833062,2011-09-20 00:02:19,sehd confirmation receipt,send confirmation receipt,distorted label(Proximity)
3833062,2011-10-28 15:42:51,Transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,distorted label(UpLow)
3833827,2011-11-04 00:59:58,creatin genvironmental permit decision,enter senddate decision environmental permit,distorted label(Interchange)
3837125,2011-09-13 20:22:43,assessment of cohtent completed,assessment of content completed,distorted label(Proximity)
3852444,2011-10-04 20:15:44,creating environmental prmit decision,enter senddate decision environmental permit,distorted label(Skip)
3853149,2011-09-28 07:00:08,registBration date publication,registration date publication,distorted label(Insert)
3853149,2011-10-13 21:56:14,phase advice .nown,phase advice known,distorted label(Proximity)
3930617,2011-10-04 07:00:08,Register submission date request,register submission date request,distorted label(UpLow)
3944991,2011-10-24 17:56:26,phase advice nkown,phase advice known,distorted label(Interchange)
4024862,2011-10-31 17:51:37,regular procedure ithout MER,regular procedure without MER,distorted label(Skip)
4242727,2012-02-01 08:00:06,enter senddate deciison procedure term extension,enter senddate decision procedure term extension,distorted label(Interchange)
4336128,2011-12-23 08:00:09,register submisison date request,register submission date request,distorted label(Interchange)
4495310,2012-01-16 08:00:01,register submiGssion date request,register submission date request,distorted label(Insert)
