Case,Activity,Timestamp,Resource,Event,label,original_activity,isdistorted,BaseActivity,ProcessedActivity,canonical_activity,is_distorted,Activity_fixed
2838476,registebr date environmental permit decision,2010-12-16 08:00:01,560890,8676,distorted label(Insert),registebr date environmental permit decision,0,registebr date environmental permit decision,registebr date environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
2874224,enter senddate procedure confirkation,2010-11-24 08:00:05,2670601,9300,distorted label(Proximity),enter senddate procedure confirkation,0,enter senddate procedure confirkation,enter senddate procedure confirkation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
2879904,enter senddate procedurQe confirmation,2011-01-19 08:00:02,560912,9381,distorted label(Insert),enter senddate procedurQe confirmation,0,enter senddate procedurQe confirmation,enter senddate procedurqe confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
2887729,Regular procedure without MER,2011-10-28 18:03:23,560890,9484,distorted label(UpLow),Regular procedure without MER,0,Regular procedure without MER,regular procedure without mer,regular procedure without MER,1,regular procedure without MER
2887729,aplicant is stakeholder,2011-10-28 18:03:29,560890,9494,distorted label(Skip),aplicant is stakeholder,0,aplicant is stakehol,aplicant is stakehol,applicant is stakehol,1,applicant is stakehol
2902319,request complet,2011-02-08 18:07:21,560881,9793,distorted label(Skip),request complet,0,request compl,request compl,request compl,0,request compl
2931527,enter senddate procdeure confirmation,2010-12-15 08:00:12,560881,10098,distorted label(Interchange),enter senddate procdeure confirmation,0,enter senddate procdeure confirmation,enter senddate procdeure confirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
2952306,enter senddate procedure vonfirmation,2010-12-23 08:00:09,560872,10367,distorted label(Proximity),enter senddate procedure vonfirmation,0,enter senddate procedure vonfirmation,enter senddate procedure vonfirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
2953434,Register date environmental permit decision,2011-02-14 08:00:01,560890,10438,distorted label(UpLow),Register date environmental permit decision,0,Register date environmental permit decision,register date environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
2985791,registrer date of publishing rceived request,2011-02-28 08:00:02,2670601,11068,distorted label(Skip),registrer date of publishing rceived request,0,registrer date of publishing rceived requ,registrer date of publishing rceived requ,registrer date of publishing received requ,1,registrer date of publishing received requ
3019065,enter senddate acknowledegment,2011-01-20 08:00:01,560925,11296,distorted label(Interchange),enter senddate acknowledegment,0,enter senddate acknowledegmen,enter senddate acknowledegmen,enter senddate acknowledgemen,1,enter senddate acknowledgemen
3084709,Register date environmental permit decision,2011-02-23 08:00:13,560894,11717,distorted label(UpLow),Register date environmental permit decision,0,Register date environmental permit decision,register date environmental permit decision,enter senddate decision environmental perm,1,enter senddate decision environmental perm
3097714,ented senddate acknowledgement,2011-01-31 08:00:05,560872,12049,distorted label(Proximity),ented senddate acknowledgement,0,ented senddate acknowledgemen,ented senddate acknowledgemen,enter senddate acknowledgemen,1,enter senddate acknowledgemen
3113605,enter senddate procedure cofirmation,2011-02-22 08:00:11,560881,12290,distorted label(Skip),enter senddate procedure cofirmation,0,enter senddate procedure cofirmation,enter senddate procedure cofirmation,enter senddate procedure confirmation,1,enter senddate procedure confirmation
3113605,Request complete,2011-03-16 20:42:27,560881,12314,distorted label(UpLow),Request complete,0,Request compl,request compl,request compl,1,request compl
3115575,enter senddate acknowledgdment,2011-02-03 08:00:04,560872,12342,distorted label(Proximity),enter senddate acknowledgdment,0,enter senddate acknowledgdmen,enter senddate acknowledgdmen,enter senddate acknowledgemen,1,enter senddate acknowledgemen
