Case,Activity,Timestamp,Activity_fixed,label,Resource
2838476,registebr date environmental permit decision,2010-12-16 08:00:01,enter senddate decision environmental permit,distorted label(Insert),560890
2874224,enter senddate procedure confirkation,2010-11-24 08:00:05,enter senddate procedure confirmation,distorted label(Proximity),2670601
2879904,enter senddate procedurQe confirmation,2011-01-19 08:00:02,enter senddate procedure confirmation,distorted label(Insert),560912
2887729,Regular procedure without MER,2011-10-28 18:03:23,regular procedure without MER,distorted label(UpLow),560890
2887729,aplicant is stakeholder,2011-10-28 18:03:29,applicant is stakeholder,distorted label(Skip),560890
2902319,request complet,2011-02-08 18:07:21,request complete,distorted label(Skip),560881
2931527,enter senddate procdeure confirmation,2010-12-15 08:00:12,enter senddate procedure confirmation,distorted label(Interchange),560881
2952306,enter senddate procedure vonfirmation,2010-12-23 08:00:09,enter senddate procedure confirmation,distorted label(Proximity),560872
2953434,Register date environmental permit decision,2011-02-14 08:00:01,enter senddate decision environmental permit,distorted label(UpLow),560890
2985791,registrer date of publishing rceived request,2011-02-28 08:00:02,registrer date of publishing received request,distorted label(Skip),2670601
3019065,enter senddate acknowledegment,2011-01-20 08:00:01,enter senddate acknowledgement,distorted label(Interchange),560925
3084709,Register date environmental permit decision,2011-02-23 08:00:13,enter senddate decision environmental permit,distorted label(UpLow),560894
3097714,ented senddate acknowledgement,2011-01-31 08:00:05,enter senddate acknowledgement,distorted label(Proximity),560872
3113605,enter senddate procedure cofirmation,2011-02-22 08:00:11,enter senddate procedure confirmation,distorted label(Skip),560881
3113605,Request complete,2011-03-16 20:42:27,request complete,distorted label(UpLow),560881
3115575,enter senddate acknowledgdment,2011-02-03 08:00:04,enter senddate acknowledgement,distorted label(Proximity),560872
3130787,enter senddate procedure confitmation,2011-02-22 08:00:17,enter senddate procedure confirmation,distorted label(Proximity),560881
3130787,regDister deadline,2011-05-09 07:00:01,register deadline,distorted label(Insert),560464
3151204,enter senddate cknowledgement,2011-02-14 08:00:15,enter senddate acknowledgement,distorted label(Skip),560912
3151204,Enter senddate procedure confirmation,2011-03-16 08:00:15,enter senddate procedure confirmation,distorted label(UpLow),560881
3197502,enter date publication decision environmmental permit,2011-04-06 07:00:06,enter senddate decision environmental permit,distorted label(Insert),560890
3207862,enter senddate procedure confirmstion,2011-04-13 07:00:10,enter senddate procedure confirmation,distorted label(Proximity),2670601
3225456,register submission dater equest,2011-02-18 08:00:04,register submission date request,distorted label(Interchange),560872
3232189,Register date decision terminate on request,2012-03-28 07:00:01,Register date decision terminate on request,distorted label(UpLow),560894
3256221,read field phased app/ication,2013-11-25 08:00:05,read field phased application,distorted label(Proximity),560462
3262171,enter senddate decision procedure term exFtension,2011-05-03 07:00:07,enter senddate decision procedure term extension,distorted label(Insert),3273854
3265011,suspension ground applicablse,2011-03-30 18:37:13,suspension ground applicable,distorted label(Insert),3273854
3265011,enter date publicationd ecision environmental permit,2011-04-13 07:00:13,enter senddate decision environmental permit,distorted label(Interchange),560890
3292122,rqeuest complete,2011-04-19 23:01:19,request complete,distorted label(Interchange),560890
3330161,enter senddate procedure confirmoation,2011-04-22 07:00:01,enter senddate procedure confirmation,distorted label(Insert),3273854
3356696,enter senddate acknow/edgement,2011-04-21 07:00:14,enter senddate acknowledgement,distorted label(Proximity),560872
3407887,bg law,2011-05-23 15:20:32,bg law,distorted label(Proximity),3273854
3438592,register submbission date request,2011-05-11 07:00:05,register submission date request,distorted label(Insert),560872
3456494,enter senddate acknowledgemnt,2011-05-26 07:00:07,enter senddate acknowledgement,distorted label(Skip),560872
3458528,enter senddatae decision environmental permit,2011-06-21 07:00:12,enter senddate decision environmental permit,distorted label(Insert),560890
3459618,By law,2011-06-06 16:57:48,by law,distorted label(UpLow),3273854
3460499,Register submission date request,2011-05-23 07:00:06,register submission date request,distorted label(UpLow),560872
3460499,Suspension ground applicable,2011-06-24 16:27:12,suspension ground applicable,distorted label(UpLow),3273854
3537750,genrate publication document decision environmental permit,2011-08-04 21:01:02,enter senddate decision environmental permit,distorted label(Skip),2670601
3598533,no pHermit needed or only notification needed,2011-07-29 18:53:38,no permit needed or only notification needed,distorted label(Insert),2670601
3601105,send procecure confirmation,2011-07-08 16:58:07,enter senddate procedure confirmation,distorted label(Proximity),560872
3604677,creating environmental permit deciRsion,2012-03-20 18:38:31,enter senddate decision environmental permit,distorted label(Insert),3273854
3622039,completed Nsubcases content,2011-08-26 22:55:13,treat subcases content,distorted label(Insert),3273854
3642802,pmhase application received,2011-10-28 23:15:20,phase application received,distorted label(Insert),560462
3693886,send confirmation recei;t,2011-09-15 22:53:08,send confirmation receipt,distorted label(Proximity),2670601
3693886,send letter in progresws,2011-09-29 22:04:00,send letter in progress,distorted label(Insert),3273854
3748812,enter senddzate procedure confirmation,2011-08-19 07:00:02,enter senddate procedure confirmation,distorted label(Insert),560872
3748812,groudns for refusal,2011-09-12 18:43:18,grounds for refusal,distorted label(Interchange),3273854
3755625,creating environmental permitd ecision,2011-08-29 17:53:23,enter senddate decision environmental permit,distorted label(Interchange),560872
3833062,sehd confirmation receipt,2011-09-20 00:02:19,send confirmation receipt,distorted label(Proximity),3273854
3833062,Transcript decision environmental permit to stakeholders,2011-10-28 15:42:51,transcript decision environmental permit to stakeholders,distorted label(UpLow),560890
3833827,creatin genvironmental permit decision,2011-11-04 00:59:58,enter senddate decision environmental permit,distorted label(Interchange),2670601
3837125,assessment of cohtent completed,2011-09-13 20:22:43,assessment of content completed,distorted label(Proximity),3273854
3852444,creating environmental prmit decision,2011-10-04 20:15:44,enter senddate decision environmental permit,distorted label(Skip),3273854
3853149,registBration date publication,2011-09-28 07:00:08,registration date publication,distorted label(Insert),560872
3853149,phase advice .nown,2011-10-13 21:56:14,phase advice known,distorted label(Proximity),3273854
3930617,Register submission date request,2011-10-04 07:00:08,register submission date request,distorted label(UpLow),560872
3944991,phase advice nkown,2011-10-24 17:56:26,phase advice known,distorted label(Interchange),3273854
4024862,regular procedure ithout MER,2011-10-31 17:51:37,regular procedure without MER,distorted label(Skip),560872
4242727,enter senddate deciison procedure term extension,2012-02-01 08:00:06,enter senddate decision procedure term extension,distorted label(Interchange),2670601
4336128,register submisison date request,2011-12-23 08:00:09,register submission date request,distorted label(Interchange),560872
4495310,register submiGssion date request,2012-01-16 08:00:01,register submission date request,distorted label(Insert),560925
4495310,Grounds for refusal,2012-01-30 23:22:32,grounds for refusal,distorted label(UpLow),3273854
4499247,send procedure ocnfirmation,2012-01-20 16:32:37,enter senddate procedure confirmation,distorted label(Interchange),560872
4557918,Enter senddate decision environmental permit,2012-03-22 08:00:01,enter senddate decision environmental permit,distorted label(UpLow),560890
4565008,term for submiting updated plan,2013-08-29 07:00:12,term for submitting updated plan,distorted label(Skip),560950
4589612,Send letter in progress,2012-03-23 19:30:37,send letter in progress,distorted label(UpLow),2670601
4604206,phase application rexeived,2012-02-09 23:57:32,phase application received,distorted label(Proximity),560872
4604206,enter esnddate procedure confirmation,2012-02-10 08:00:05,enter senddate procedure confirmation,distorted label(Interchange),560872
4640117,register submission ate request,2012-02-13 08:00:08,register submission date request,distorted label(Skip),560872
4772933,Send confirmation receipt,2012-03-22 19:40:51,send confirmation receipt,distorted label(UpLow),560872
4775758,request coplete,2012-04-17 20:51:36,request complete,distorted label(Skip),2670601
4775758,reating environmental permit decision,2012-04-17 20:51:48,enter senddate decision environmental permit,distorted label(Skip),2670601
