Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true,Activity_fixed
0,Check for completeness,2023-09-29 09:00:00,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
0,New online application received,2023-09-29 09:00:00,,,0,New online application received,new online application received,-1,0,0,New online application received
0,Perform checks,2023-09-29 09:08:36,Clerk-000003,,0,Perform checks,perform checks,-1,0,0,Perform checks
0,Make decision,2023-09-29 09:09:43,Manager-000001,,0,Make decision,make decision,-1,0,0,Make decision
0,Notify accept,2023-09-29 09:16:37,Manager-000003,,0,Notify accept,notify accept,-1,0,0,Notify accept
0,Deliver card,2023-09-29 09:39:19,Manager-000002,,0,Deliver card,deliver card,-1,0,0,Deliver card
0,EVENT 13 END,2023-09-29 09:49:41,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
1,Check for completeness,2023-09-29 09:05:24,Clerk-000002,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
1,New online application received,2023-09-29 09:05:24,,,0,New online application received,new online application received,-1,0,0,New online application received
1,Perform checks,2023-09-29 09:10:28,Clerk-000004,,0,Perform checks,perform checks,-1,0,0,Perform checks
1,Make decision,2023-09-29 09:13:51,Manager-000002,,0,Make decision,make decision,-1,0,0,Make decision
1,Notify accept,2023-09-29 09:35:56,Manager-000005,,0,Notify accept,notify accept,-1,0,0,Notify accept
1,Deliver card,2023-09-29 09:54:59,Manager-000004,,0,Deliver card,deliver card,-1,0,0,Deliver card
1,EVENT 13 END,2023-09-29 10:09:32,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
2,Check for completeness,2023-09-29 09:24:45,Clerk-000005,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
2,New online application received,2023-09-29 09:24:45,,,0,New online application received,new online application received,-1,0,0,New online application received
2,Make decision_signed1,2023-09-29 09:24:45,Clerk-000005,collateral events(Make decision),0,Make decision_signed1,make decision,0,0,1,Make decision_signed1
2,Perform checks,2023-09-29 09:25:09,Clerk-000006,,0,Perform checks,perform checks,-1,0,0,Perform checks
2,Make decision_signed1,2023-09-29 09:25:09,Clerk-000006,collateral events(Make decision),0,Make decision_signed1,make decision,1,0,1,Make decision_signed1
2,Make decision,2023-09-29 09:33:00,Manager-000004,,0,Make decision,make decision,2,0,0,Make decision
2,Notify accept,2023-09-29 09:37:36,Manager-000006,,0,Notify accept,notify accept,-1,0,0,Notify accept
2,Make decision_signed1,2023-09-29 09:37:36,Manager-000006,collateral events(Make decision),0,Make decision_signed1,make decision,3,0,1,Make decision_signed1
2,Deliver card,2023-09-29 09:38:25,Manager-000001,,0,Deliver card,deliver card,-1,0,0,Deliver card
2,Make decision_signed1,2023-09-29 09:38:25,Manager-000001,collateral events(Make decision),0,Make decision_signed1,make decision,4,0,1,Make decision_signed1
2,EVENT 13 END,2023-09-29 09:43:20,,,0,EVENT 13 END,event 13 end,-1,0,0,EVENT 13 END
2,Make decision_signed1,2023-09-29 09:43:21,,collateral events(Make decision),0,Make decision_signed1,make decision,5,0,1,Make decision_signed1
3,Check for completeness,2023-09-29 11:04:02,Clerk-000001,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
3,New online application received,2023-09-29 11:04:02,,,0,New online application received,new online application received,-1,0,0,New online application received
3,Request info,2023-09-29 11:14:01,Manager-000006,,0,Request info,request info,-1,0,0,Request info
3,info received,2023-09-29 11:22:56,,,0,info received,info received,-1,0,0,info received
3,Check for completeness,2023-09-29 11:23:06,Clerk-000003,,0,Check for completeness,check for completeness,-1,0,0,Check for completeness
3,Perform checks,2023-09-29 11:26:10,Clerk-000002,,0,Perform checks,perform checks,-1,0,0,Perform checks
3,Make decision,2023-09-29 11:39:44,Manager-000003,,0,Make decision,make decision,-1,0,0,Make decision
3,notify reject,2023-09-29 11:44:04,Manager-000002,,0,notify reject,notify reject,-1,0,0,notify reject
3,time out,2023-09-29 11:55:24,,,0,time out,time out,-1,0,0,time out
