Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous,label
0,2023-09-29 09:00:00,Clerk-000001,Check for completeness,Check for completeness,0,
0,2023-09-29 09:00:00,,New online application received,New online application received,0,
0,2023-09-29 09:08:36,Clerk-000003,Perform checks,Perform checks,0,
0,2023-09-29 09:09:43,Manager-000001,Make decision,Make decision,0,
0,2023-09-29 09:16:37,Manager-000003,Notify accept,Notify accept,0,
0,2023-09-29 09:39:19,Manager-000002,Deliver card,Deliver card,0,
0,2023-09-29 09:49:41,,EVENT 13 END,EVENT 13 END,0,
1,2023-09-29 09:05:24,Clerk-000002,Check for completeness,Check for completeness,0,
1,2023-09-29 09:05:24,,New online application received,New online application received,0,
1,2023-09-29 09:10:28,Clerk-000004,Perform checks,Perform checks,0,
1,2023-09-29 09:13:51,Manager-000002,Make decision,Make decision,0,
1,2023-09-29 09:35:56,Manager-000005,Notify accept,Notify accept,0,
1,2023-09-29 09:54:59,Manager-000004,Deliver card,Deliver card,0,
1,2023-09-29 10:09:32,,EVENT 13 END,EVENT 13 END,0,
2,2023-09-29 09:24:45,Clerk-000005,Check for completeness,Check for completeness,0,
2,2023-09-29 09:24:45,,New online application received,New online application received,0,
2,2023-09-29 09:25:09,Clerk-000006,Perform checks,Perform checks,0,
2,2023-09-29 09:33:00,Manager-000004,Make decision,Make decision,0,
2,2023-09-29 09:37:36,Manager-000006,Notify accept,Notify accept,0,
2,2023-09-29 09:38:25,Manager-000001,Deliver card,Deliver card,0,
2,2023-09-29 09:43:20,,EVENT 13 END,EVENT 13 END,0,
3,2023-09-29 11:04:02,Clerk-000001,Check for completeness,Check for completeness,0,
3,2023-09-29 11:04:02,,New online application received,New online application received,0,
3,2023-09-29 11:14:01,Manager-000006,Request info,Request info,0,
3,2023-09-29 11:22:56,,info received,info received,0,
3,2023-09-29 11:23:06,Clerk-000003,Check for completeness,Check for completeness,0,
3,2023-09-29 11:26:10,Clerk-000002,Perform checks,Perform checks,0,
3,2023-09-29 11:39:44,Manager-000003,Make decision,Make decision,0,
3,2023-09-29 11:44:04,Manager-000002,notify reject,notify reject,0,
3,2023-09-29 11:55:24,,time out,time out,0,
3,2023-09-29 11:55:34,,EVENT 13 END,EVENT 13 END,0,
4,2023-09-29 11:34:38,Clerk-000004,Check for completeness,Check for completeness,0,
4,2023-09-29 11:34:38,,New online application received,New online application received,0,
4,2023-09-29 11:42:14,Manager-000001,Request info,Request info,0,
4,2023-09-29 12:28:45,,info received,info received,0,
4,2023-09-29 12:28:55,Clerk-000001,Check for completeness,Check for completeness,0,
