Case,Timestamp,Activity,Activity_fixed,label,Resource
0,2023-09-29 09:00:00,Check for completeness,Check for completeness,,Clerk-000001
0,2023-09-29 09:00:00,New online application received,New online application received,,
0,2023-09-29 09:08:36,Perform checks,Perform checks,,Clerk-000003
0,2023-09-29 09:09:43,Make decision,Make decision,,Manager-000001
0,2023-09-29 09:16:37,Notify accept,Notify accept,,Manager-000003
0,2023-09-29 09:39:19,Deliver card,Deliver card,,Manager-000002
0,2023-09-29 09:49:41,EVENT 13 END,EVENT 13 END,,
1,2023-09-29 09:05:24,Check for completeness,Check for completeness,,Clerk-000002
1,2023-09-29 09:05:24,New online application received,New online application received,,
1,2023-09-29 09:10:28,Perform checks,Perform checks,,Clerk-000004
1,2023-09-29 09:13:51,Make decision,Make decision,,Manager-000002
1,2023-09-29 09:35:56,Notify accept,Notify accept,,Manager-000005
1,2023-09-29 09:54:59,Deliver card,Deliver card,,Manager-000004
1,2023-09-29 10:09:32,EVENT 13 END,EVENT 13 END,,
2,2023-09-29 09:24:45,Check for completeness,Check for completeness,,Clerk-000005
2,2023-09-29 09:24:45,New online application received,New online application received,,
2,2023-09-29 09:24:45,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
2,2023-09-29 09:25:09,Perform checks,Perform checks,,Clerk-000006
2,2023-09-29 09:25:09,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
2,2023-09-29 09:25:10,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000006
2,2023-09-29 09:33:00,Make decision,Make decision,,Manager-000004
2,2023-09-29 09:37:36,Notify accept,Notify accept,,Manager-000006
2,2023-09-29 09:37:36,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
2,2023-09-29 09:37:37,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
2,2023-09-29 09:38:25,Deliver card,Deliver card,,Manager-000001
2,2023-09-29 09:38:25,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000001
2,2023-09-29 09:38:26,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000001
2,2023-09-29 09:43:20,EVENT 13 END,EVENT 13 END,,
2,2023-09-29 09:43:21,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
2,2023-09-29 09:43:21,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
3,2023-09-29 11:04:02,Check for completeness,Check for completeness,,Clerk-000001
3,2023-09-29 11:04:02,New online application received,New online application received,,
3,2023-09-29 11:14:01,Request info,Request info,,Manager-000006
3,2023-09-29 11:22:56,info received,info received,,
3,2023-09-29 11:23:06,Check for completeness,Check for completeness,,Clerk-000003
3,2023-09-29 11:26:10,Perform checks,Perform checks,,Clerk-000002
3,2023-09-29 11:39:44,Make decision,Make decision,,Manager-000003
3,2023-09-29 11:44:04,notify reject,notify reject,,Manager-000002
3,2023-09-29 11:55:24,time out,time out,,
3,2023-09-29 11:55:34,EVENT 13 END,EVENT 13 END,,
4,2023-09-29 11:34:38,Check for completeness,Check for completeness,,Clerk-000004
4,2023-09-29 11:34:38,New online application received,New online application received,,
4,2023-09-29 11:42:14,Request info,Request info,,Manager-000001
4,2023-09-29 12:28:45,info received,info received,,
4,2023-09-29 12:28:55,Check for completeness,Check for completeness,,Clerk-000001
4,2023-09-29 12:54:48,Perform checks,Perform checks,,Clerk-000003
4,2023-09-29 13:08:52,Make decision,Make decision,,Manager-000003
4,2023-09-29 13:20:24,Notify accept,Notify accept,,Manager-000002
4,2023-09-29 13:31:16,Deliver card,Deliver card,,Manager-000004
4,2023-09-29 13:33:29,EVENT 13 END,EVENT 13 END,,
5,2023-09-29 11:58:51,Check for completeness,Check for completeness,,Clerk-000005
5,2023-09-29 11:58:51,New online application received,New online application received,,
5,2023-09-29 11:59:56,Perform checks,Perform checks,,Clerk-000006
5,2023-09-29 12:06:54,Make decision,Make decision,,Manager-000005
5,2023-09-29 12:13:00,Notify accept,Notify accept,,Manager-000004
5,2023-09-29 12:15:13,Deliver card,Deliver card,,Manager-000006
5,2023-09-29 12:16:48,EVENT 13 END,EVENT 13 END,,
6,2023-09-29 13:17:49,Check for completeness,Check for completeness,,Clerk-000002
6,2023-09-29 13:17:49,New online application received,New online application received,,
6,2023-09-29 13:17:50,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000002
6,2023-09-29 13:41:22,Perform checks,Perform checks,,Clerk-000003
6,2023-09-29 13:41:23,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000003
6,2023-09-29 13:41:24,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000003
6,2023-09-29 13:45:49,Make decision,Make decision,,Manager-000002
6,2023-09-29 13:46:40,Notify accept,Notify accept,,Manager-000004
6,2023-09-29 13:46:41,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000004
6,2023-09-29 13:46:41,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000004
6,2023-09-29 14:12:17,Deliver card,Deliver card,,Manager-000003
6,2023-09-29 14:12:17,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
6,2023-09-29 14:12:18,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
6,2023-09-29 14:25:51,EVENT 13 END,EVENT 13 END,,
6,2023-09-29 14:25:52,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
6,2023-09-29 14:25:53,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
7,2023-09-29 13:24:12,Check for completeness,Check for completeness,,Clerk-000004
7,2023-09-29 13:24:12,New online application received,New online application received,,
7,2023-09-29 13:24:12,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
7,2023-09-29 13:24:18,Perform checks,Perform checks,,Clerk-000005
7,2023-09-29 13:24:18,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000005
7,2023-09-29 13:24:19,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000005
7,2023-09-29 13:29:26,Make decision,Make decision,,Manager-000005
7,2023-09-29 13:39:56,Notify accept,Notify accept,,Manager-000006
7,2023-09-29 13:39:56,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000006
7,2023-09-29 13:39:57,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000006
7,2023-09-29 13:43:55,Deliver card,Deliver card,,Manager-000001
7,2023-09-29 13:43:55,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000001
7,2023-09-29 13:43:56,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000001
7,2023-09-29 13:58:02,EVENT 13 END,EVENT 13 END,,
7,2023-09-29 13:58:03,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
7,2023-09-29 13:58:03,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
8,2023-09-29 13:38:17,Check for completeness,Check for completeness,,Clerk-000006
8,2023-09-29 13:38:17,New online application received,New online application received,,
8,2023-09-29 13:38:17,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000006
8,2023-09-29 13:43:58,Request info,Request info,,Manager-000003
8,2023-09-29 13:43:58,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Manager-000003
8,2023-09-29 13:43:58,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Manager-000003
8,2023-09-29 13:45:28,info received,info received,,
8,2023-09-29 13:45:29,Make decision_signed1,Make decision_signed1,collateral events(Make decision),
8,2023-09-29 13:45:29,Make decision_signed2,Make decision_signed2,collateral events(Make decision),
8,2023-09-29 13:45:38,Check for completeness,Check for completeness,,Clerk-000004
8,2023-09-29 13:45:38,Make decision_signed1,Make decision_signed1,collateral events(Make decision),Clerk-000004
8,2023-09-29 13:45:38,Make decision_signed2,Make decision_signed2,collateral events(Make decision),Clerk-000004
