Case,Timestamp,Activity,Resource,label,Activity_fixed
0,2023-09-29 09:00:00,Check for completeness,Clerk-000001,,Check for completeness
0,2023-09-29 09:00:00,New online application received,,,New online application received
0,2023-09-29 09:08:36,Perform checks,Clerk-000003,,Perform checks
0,2023-09-29 09:09:43,Make decision,Manager-000001,,Make decision
0,2023-09-29 09:16:37,Notify accept,Manager-000003,,Notify accept
0,2023-09-29 09:39:19,Deliver card,Manager-000002,,Deliver card
0,2023-09-29 09:49:41,EVENT 13 END,,,EVENT 13 END
1,2023-09-29 09:05:24,Check for completeness,Clerk-000002,,Check for completeness
1,2023-09-29 09:05:24,New online application received,,,New online application received
1,2023-09-29 09:10:28,Perform checks,Clerk-000004,,Perform checks
1,2023-09-29 09:13:51,Make decision,Manager-000002,,Make decision
1,2023-09-29 09:35:56,Notify accept,Manager-000005,,Notify accept
1,2023-09-29 09:54:59,Deliver card,Manager-000004,,Deliver card
1,2023-09-29 10:09:32,EVENT 13 END,,,EVENT 13 END
2,2023-09-29 09:24:45,Check for completeness,Clerk-000005,,Check for completeness
2,2023-09-29 09:24:45,New online application received,,,New online application received
2,2023-09-29 09:24:45,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
2,2023-09-29 09:25:09,Perform checks,Clerk-000006,,Perform checks
2,2023-09-29 09:25:09,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
2,2023-09-29 09:33:00,Make decision,Manager-000004,,Make decision
2,2023-09-29 09:37:36,Notify accept,Manager-000006,,Notify accept
2,2023-09-29 09:37:36,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
2,2023-09-29 09:38:25,Deliver card,Manager-000001,,Deliver card
2,2023-09-29 09:38:25,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
2,2023-09-29 09:43:20,EVENT 13 END,,,EVENT 13 END
2,2023-09-29 09:43:21,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
3,2023-09-29 11:04:02,Check for completeness,Clerk-000001,,Check for completeness
3,2023-09-29 11:04:02,New online application received,,,New online application received
3,2023-09-29 11:14:01,Request info,Manager-000006,,Request info
3,2023-09-29 11:22:56,info received,,,info received
3,2023-09-29 11:23:06,Check for completeness,Clerk-000003,,Check for completeness
3,2023-09-29 11:26:10,Perform checks,Clerk-000002,,Perform checks
3,2023-09-29 11:39:44,Make decision,Manager-000003,,Make decision
3,2023-09-29 11:44:04,notify reject,Manager-000002,,notify reject
3,2023-09-29 11:55:24,time out,,,time out
3,2023-09-29 11:55:34,EVENT 13 END,,,EVENT 13 END
4,2023-09-29 11:34:38,Check for completeness,Clerk-000004,,Check for completeness
4,2023-09-29 11:34:38,New online application received,,,New online application received
4,2023-09-29 11:42:14,Request info,Manager-000001,,Request info
4,2023-09-29 12:28:45,info received,,,info received
4,2023-09-29 12:28:55,Check for completeness,Clerk-000001,,Check for completeness
4,2023-09-29 12:54:48,Perform checks,Clerk-000003,,Perform checks
4,2023-09-29 13:08:52,Make decision,Manager-000003,,Make decision
4,2023-09-29 13:20:24,Notify accept,Manager-000002,,Notify accept
4,2023-09-29 13:31:16,Deliver card,Manager-000004,,Deliver card
4,2023-09-29 13:33:29,EVENT 13 END,,,EVENT 13 END
5,2023-09-29 11:58:51,Check for completeness,Clerk-000005,,Check for completeness
5,2023-09-29 11:58:51,New online application received,,,New online application received
5,2023-09-29 11:59:56,Perform checks,Clerk-000006,,Perform checks
5,2023-09-29 12:06:54,Make decision,Manager-000005,,Make decision
5,2023-09-29 12:13:00,Notify accept,Manager-000004,,Notify accept
5,2023-09-29 12:15:13,Deliver card,Manager-000006,,Deliver card
5,2023-09-29 12:16:48,EVENT 13 END,,,EVENT 13 END
6,2023-09-29 13:17:49,Check for completeness,Clerk-000002,,Check for completeness
6,2023-09-29 13:17:49,New online application received,,,New online application received
6,2023-09-29 13:17:50,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
6,2023-09-29 13:41:22,Perform checks,Clerk-000003,,Perform checks
6,2023-09-29 13:41:23,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
6,2023-09-29 13:45:49,Make decision,Manager-000002,,Make decision
6,2023-09-29 13:46:40,Notify accept,Manager-000004,,Notify accept
6,2023-09-29 13:46:41,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
6,2023-09-29 14:12:17,Deliver card,Manager-000003,,Deliver card
6,2023-09-29 14:12:17,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
6,2023-09-29 14:25:51,EVENT 13 END,,,EVENT 13 END
6,2023-09-29 14:25:52,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
7,2023-09-29 13:24:12,Check for completeness,Clerk-000004,,Check for completeness
7,2023-09-29 13:24:12,New online application received,,,New online application received
7,2023-09-29 13:24:12,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
7,2023-09-29 13:24:18,Perform checks,Clerk-000005,,Perform checks
7,2023-09-29 13:24:18,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
7,2023-09-29 13:29:26,Make decision,Manager-000005,,Make decision
7,2023-09-29 13:39:56,Notify accept,Manager-000006,,Notify accept
7,2023-09-29 13:39:56,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
7,2023-09-29 13:43:55,Deliver card,Manager-000001,,Deliver card
7,2023-09-29 13:43:55,Make decision_signed1,Manager-000001,collateral events(Make decision),Make decision_signed1
7,2023-09-29 13:58:02,EVENT 13 END,,,EVENT 13 END
7,2023-09-29 13:58:03,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
8,2023-09-29 13:38:17,Check for completeness,Clerk-000006,,Check for completeness
8,2023-09-29 13:38:17,New online application received,,,New online application received
8,2023-09-29 13:38:17,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
8,2023-09-29 13:43:58,Request info,Manager-000003,,Request info
8,2023-09-29 13:43:58,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
8,2023-09-29 13:45:28,info received,,,info received
8,2023-09-29 13:45:29,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
8,2023-09-29 13:45:38,Check for completeness,Clerk-000004,,Check for completeness
8,2023-09-29 13:45:38,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
8,2023-09-29 13:59:58,Perform checks,Clerk-000005,,Perform checks
8,2023-09-29 13:59:58,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:00:04,Make decision,Manager-000005,,Make decision
8,2023-09-29 14:15:21,notify reject,Manager-000002,,notify reject
8,2023-09-29 14:15:21,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:19:47,review request received,,,review request received
8,2023-09-29 14:19:48,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:19:57,Check for completeness,Clerk-000006,,Check for completeness
8,2023-09-29 14:19:57,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:28:22,Perform checks,Clerk-000003,,Perform checks
8,2023-09-29 14:28:23,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:34:51,Make decision,Manager-000004,,Make decision
8,2023-09-29 14:36:15,Notify accept,Manager-000005,,Notify accept
8,2023-09-29 14:36:15,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:37:47,Deliver card,Manager-000006,,Deliver card
8,2023-09-29 14:37:47,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
8,2023-09-29 14:52:19,EVENT 13 END,,,EVENT 13 END
8,2023-09-29 14:52:19,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
9,2023-09-29 13:41:21,Check for completeness,Clerk-000001,,Check for completeness
9,2023-09-29 13:41:21,New online application received,,,New online application received
9,2023-09-29 14:01:14,Request info,Manager-000006,,Request info
9,2023-09-29 14:19:00,info received,,,info received
9,2023-09-29 14:19:10,Check for completeness,Clerk-000002,,Check for completeness
9,2023-09-29 14:27:41,Request info,Manager-000001,,Request info
9,2023-09-29 14:33:09,info received,,,info received
9,2023-09-29 14:33:19,Check for completeness,Clerk-000004,,Check for completeness
9,2023-09-29 15:08:59,Request info,Manager-000003,,Request info
9,2023-09-29 15:23:23,info received,,,info received
9,2023-09-29 15:23:33,Check for completeness,Clerk-000006,,Check for completeness
9,2023-09-29 15:33:37,Perform checks,Clerk-000003,,Perform checks
9,2023-09-29 15:34:38,Make decision,Manager-000006,,Make decision
9,2023-09-29 15:54:24,notify reject,Manager-000002,,notify reject
9,2023-09-29 16:12:43,time out,,,time out
9,2023-09-29 16:12:53,EVENT 13 END,,,EVENT 13 END
10,2023-09-29 14:47:37,Check for completeness,Clerk-000005,,Check for completeness
10,2023-09-29 14:47:37,New online application received,,,New online application received
10,2023-09-29 14:48:51,Request info,Manager-000002,,Request info
10,2023-09-29 14:54:01,info received,,,info received
10,2023-09-29 14:54:11,Check for completeness,Clerk-000001,,Check for completeness
10,2023-09-29 15:12:40,Perform checks,Clerk-000002,,Perform checks
10,2023-09-29 15:21:56,Make decision,Manager-000001,,Make decision
10,2023-09-29 15:22:31,Notify accept,Manager-000004,,Notify accept
10,2023-09-29 15:23:49,Deliver card,Manager-000005,,Deliver card
10,2023-09-29 15:36:59,EVENT 13 END,,,EVENT 13 END
11,2023-09-29 16:06:37,Check for completeness,Clerk-000005,,Check for completeness
11,2023-09-29 16:06:37,New online application received,,,New online application received
11,2023-09-29 16:11:54,Perform checks,Clerk-000001,,Perform checks
11,2023-09-29 16:25:06,Make decision,Manager-000001,,Make decision
11,2023-09-29 16:26:23,notify reject,Manager-000003,,notify reject
11,2023-09-29 16:29:27,time out,,,time out
11,2023-09-29 16:29:37,EVENT 13 END,,,EVENT 13 END
12,2023-09-29 16:07:28,Check for completeness,Clerk-000004,,Check for completeness
12,2023-09-29 16:07:28,New online application received,,,New online application received
12,2023-09-29 16:07:28,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
12,2023-09-29 16:28:15,Request info,Manager-000005,,Request info
12,2023-09-29 16:28:16,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
12,2023-09-29 16:33:32,info received,,,info received
12,2023-09-29 16:33:32,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
12,2023-09-29 16:33:42,Check for completeness,Clerk-000003,,Check for completeness
12,2023-09-29 16:33:42,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
12,2023-09-29 16:36:40,Request info,Manager-000002,,Request info
12,2023-09-29 16:36:40,Make decision_signed1,Manager-000002,collateral events(Make decision),Make decision_signed1
12,2023-09-29 16:45:28,info received,,,info received
12,2023-09-29 16:45:28,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
12,2023-09-29 16:45:38,Check for completeness,Clerk-000005,,Check for completeness
12,2023-09-29 16:45:38,Make decision_signed1,Clerk-000005,collateral events(Make decision),Make decision_signed1
12,2023-09-29 17:02:39,Perform checks,Clerk-000002,,Perform checks
12,2023-09-29 17:02:40,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
12,2023-09-29 17:13:16,Make decision,Manager-000003,,Make decision
12,2023-09-29 17:13:45,Notify accept,Manager-000005,,Notify accept
12,2023-09-29 17:13:45,Make decision_signed1,Manager-000005,collateral events(Make decision),Make decision_signed1
12,2023-09-29 17:46:09,Deliver card,Manager-000004,,Deliver card
12,2023-09-29 17:46:10,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
12,2023-09-29 17:47:16,EVENT 13 END,,,EVENT 13 END
12,2023-09-29 17:47:17,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 16:14:30,Check for completeness,Clerk-000002,,Check for completeness
13,2023-09-29 16:14:30,New online application received,,,New online application received
13,2023-09-29 16:14:30,Make decision_signed1,Clerk-000002,collateral events(Make decision),Make decision_signed1
13,2023-09-29 16:27:34,Perform checks,Clerk-000006,,Perform checks
13,2023-09-29 16:27:34,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
13,2023-09-29 16:28:03,Make decision,Manager-000004,,Make decision
13,2023-09-29 16:34:55,notify reject,Manager-000006,,notify reject
13,2023-09-29 16:34:56,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
13,2023-09-29 16:46:57,review request received,,,review request received
13,2023-09-29 16:46:57,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 16:47:07,Check for completeness,Clerk-000001,,Check for completeness
13,2023-09-29 16:47:08,Make decision_signed1,Clerk-000001,collateral events(Make decision),Make decision_signed1
13,2023-09-29 16:54:38,Perform checks,Clerk-000004,,Perform checks
13,2023-09-29 16:54:39,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
13,2023-09-29 17:22:15,Make decision,Manager-000002,,Make decision
13,2023-09-29 17:51:15,notify reject,Manager-000006,,notify reject
13,2023-09-29 17:51:15,Make decision_signed1,Manager-000006,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:02:09,review request received,,,review request received
13,2023-09-29 18:02:10,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:02:19,Check for completeness,Clerk-000003,,Check for completeness
13,2023-09-29 18:02:20,Make decision_signed1,Clerk-000003,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:09:51,Request info,Manager-000004,,Request info
13,2023-09-29 18:09:52,Make decision_signed1,Manager-000004,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:14:41,info received,,,info received
13,2023-09-29 18:14:42,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:14:51,Check for completeness,Clerk-000006,,Check for completeness
13,2023-09-29 18:14:51,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:26:33,Request info,Manager-000003,,Request info
13,2023-09-29 18:26:33,Make decision_signed1,Manager-000003,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:37:59,info received,,,info received
13,2023-09-29 18:38:00,Make decision_signed1,,collateral events(Make decision),Make decision_signed1
13,2023-09-29 18:38:09,Check for completeness,Clerk-000004,,Check for completeness
13,2023-09-29 18:38:10,Make decision_signed1,Clerk-000004,collateral events(Make decision),Make decision_signed1
13,2023-09-29 19:01:11,Perform checks,Clerk-000006,,Perform checks
13,2023-09-29 19:01:12,Make decision_signed1,Clerk-000006,collateral events(Make decision),Make decision_signed1
