Case,Activity,Activity_fixed,Timestamp,Resource,label
0,Check for completeness,Check for completeness,2023-09-29 09:00:00,Clerk-000001,
0,New online application received,New online application received,2023-09-29 09:00:00,,
0,Perform checks,Perform checks,2023-09-29 09:08:36,Clerk-000003,
0,Make decision,Make decision,2023-09-29 09:09:43,Manager-000001,
0,Notify accept,Notify accept,2023-09-29 09:16:37,Manager-000003,
0,Deliver card,Deliver card,2023-09-29 09:39:19,Manager-000002,
0,EVENT 13 END,EVENT 13 END,2023-09-29 09:49:41,,
1,Check for completeness,Check for completeness,2023-09-29 09:05:24,Clerk-000002,
1,New online application received,New online application received,2023-09-29 09:05:24,,
1,Perform checks,Perform checks,2023-09-29 09:10:28,Clerk-000004,
1,Make decision,Make decision,2023-09-29 09:13:51,Manager-000002,
1,Notify accept,Notify accept,2023-09-29 09:35:56,Manager-000005,
1,Deliver card,Deliver card,2023-09-29 09:54:59,Manager-000004,
1,EVENT 13 END,EVENT 13 END,2023-09-29 10:09:32,,
2,Check for completeness,Check for completeness,2023-09-29 09:24:45,Clerk-000005,
2,New online application received,New online application received,2023-09-29 09:24:45,,
2,Make decision_signed1,Make decision_signed1,2023-09-29 09:24:45,Clerk-000005,collateral events(Make decision)
2,Perform checks,Perform checks,2023-09-29 09:25:09,Clerk-000006,
2,Make decision_signed1,Make decision_signed1,2023-09-29 09:25:09,Clerk-000006,collateral events(Make decision)
2,Make decision_signed2,Make decision_signed2,2023-09-29 09:25:10,Clerk-000006,collateral events(Make decision)
2,Make decision,Make decision,2023-09-29 09:33:00,Manager-000004,
2,Notify accept,Notify accept,2023-09-29 09:37:36,Manager-000006,
2,Make decision_signed1,Make decision_signed1,2023-09-29 09:37:36,Manager-000006,collateral events(Make decision)
2,Make decision_signed2,Make decision_signed2,2023-09-29 09:37:37,Manager-000006,collateral events(Make decision)
2,Deliver card,Deliver card,2023-09-29 09:38:25,Manager-000001,
2,Make decision_signed1,Make decision_signed1,2023-09-29 09:38:25,Manager-000001,collateral events(Make decision)
2,Make decision_signed2,Make decision_signed2,2023-09-29 09:38:26,Manager-000001,collateral events(Make decision)
2,EVENT 13 END,EVENT 13 END,2023-09-29 09:43:20,,
2,Make decision_signed1,Make decision_signed1,2023-09-29 09:43:21,,collateral events(Make decision)
2,Make decision_signed2,Make decision_signed2,2023-09-29 09:43:21,,collateral events(Make decision)
3,Check for completeness,Check for completeness,2023-09-29 11:04:02,Clerk-000001,
3,New online application received,New online application received,2023-09-29 11:04:02,,
3,Request info,Request info,2023-09-29 11:14:01,Manager-000006,
3,info received,info received,2023-09-29 11:22:56,,
3,Check for completeness,Check for completeness,2023-09-29 11:23:06,Clerk-000003,
3,Perform checks,Perform checks,2023-09-29 11:26:10,Clerk-000002,
3,Make decision,Make decision,2023-09-29 11:39:44,Manager-000003,
3,notify reject,notify reject,2023-09-29 11:44:04,Manager-000002,
3,time out,time out,2023-09-29 11:55:24,,
3,EVENT 13 END,EVENT 13 END,2023-09-29 11:55:34,,
4,Check for completeness,Check for completeness,2023-09-29 11:34:38,Clerk-000004,
4,New online application received,New online application received,2023-09-29 11:34:38,,
4,Request info,Request info,2023-09-29 11:42:14,Manager-000001,
4,info received,info received,2023-09-29 12:28:45,,
4,Check for completeness,Check for completeness,2023-09-29 12:28:55,Clerk-000001,
4,Perform checks,Perform checks,2023-09-29 12:54:48,Clerk-000003,
4,Make decision,Make decision,2023-09-29 13:08:52,Manager-000003,
4,Notify accept,Notify accept,2023-09-29 13:20:24,Manager-000002,
4,Deliver card,Deliver card,2023-09-29 13:31:16,Manager-000004,
4,EVENT 13 END,EVENT 13 END,2023-09-29 13:33:29,,
5,Check for completeness,Check for completeness,2023-09-29 11:58:51,Clerk-000005,
5,New online application received,New online application received,2023-09-29 11:58:51,,
5,Perform checks,Perform checks,2023-09-29 11:59:56,Clerk-000006,
5,Make decision,Make decision,2023-09-29 12:06:54,Manager-000005,
5,Notify accept,Notify accept,2023-09-29 12:13:00,Manager-000004,
5,Deliver card,Deliver card,2023-09-29 12:15:13,Manager-000006,
5,EVENT 13 END,EVENT 13 END,2023-09-29 12:16:48,,
6,Check for completeness,Check for completeness,2023-09-29 13:17:49,Clerk-000002,
6,New online application received,New online application received,2023-09-29 13:17:49,,
6,Make decision_signed1,Make decision_signed1,2023-09-29 13:17:50,Clerk-000002,collateral events(Make decision)
6,Perform checks,Perform checks,2023-09-29 13:41:22,Clerk-000003,
6,Make decision_signed1,Make decision_signed1,2023-09-29 13:41:23,Clerk-000003,collateral events(Make decision)
6,Make decision_signed2,Make decision_signed2,2023-09-29 13:41:24,Clerk-000003,collateral events(Make decision)
6,Make decision,Make decision,2023-09-29 13:45:49,Manager-000002,
6,Notify accept,Notify accept,2023-09-29 13:46:40,Manager-000004,
6,Make decision_signed1,Make decision_signed1,2023-09-29 13:46:41,Manager-000004,collateral events(Make decision)
6,Make decision_signed2,Make decision_signed2,2023-09-29 13:46:41,Manager-000004,collateral events(Make decision)
6,Deliver card,Deliver card,2023-09-29 14:12:17,Manager-000003,
6,Make decision_signed1,Make decision_signed1,2023-09-29 14:12:17,Manager-000003,collateral events(Make decision)
6,Make decision_signed2,Make decision_signed2,2023-09-29 14:12:18,Manager-000003,collateral events(Make decision)
6,EVENT 13 END,EVENT 13 END,2023-09-29 14:25:51,,
6,Make decision_signed1,Make decision_signed1,2023-09-29 14:25:52,,collateral events(Make decision)
6,Make decision_signed2,Make decision_signed2,2023-09-29 14:25:53,,collateral events(Make decision)
7,Check for completeness,Check for completeness,2023-09-29 13:24:12,Clerk-000004,
