Case,Timestamp,Resource,Activity,Activity_fixed,label
1002,2023-11-28 06:55:51,Manager-000001,notQify reject,notify reject,distorted label(Insert)
1010,2023-11-28 14:39:05,,new online application received,New online application received,distorted label(UpLow)
1010,2023-11-28 17:15:09,Clerk-000005,Perfor mchecks,Perform checks,distorted label(Interchange)
1015,2023-11-28 20:04:36,,review request recevied,review request received,distorted label(Interchange)
1015,2023-11-28 20:22:44,,Info received,info received,distorted label(UpLow)
1029,2023-11-29 07:17:42,Manager-000006,Requset info,Request info,distorted label(Interchange)
1032,2023-11-29 11:25:46,Clerk-000005,Perfor checks,Perform checks,distorted label(Skip)
1037,2023-11-29 13:39:17,Manager-000002,Requesft info,Request info,distorted label(Insert)
1037,2023-11-29 13:42:17,,infwo received,info received,distorted label(Insert)
1045,2023-11-29 20:13:23,Clerk-000006,Check for copmleteness,Check for completeness,distorted label(Interchange)
1046,2023-11-29 20:20:32,Clerk-000003,perform checks,Perform checks,distorted label(UpLow)
1049,2023-11-30 02:01:44,,New online application rceived,New online application received,distorted label(Skip)
105,2023-10-04 23:12:10,,New online applicatiZon received,New online application received,distorted label(Insert)
1059,2023-11-30 16:55:03,Manager-000004,Mae decision,Make decision,distorted label(Skip)
1061,2023-11-30 18:04:45,,EVWNT 13 END,EVENT 13 END,distorted label(Proximity)
1064,2023-11-30 19:30:58,,New online application receivdd,New online application received,distorted label(Proximity)
1064,2023-11-30 20:13:33,Manager-000005,Delievr card,Delievr card,distorted label(Interchange)
1066,2023-11-30 20:23:47,Manager-000006,request info,Request info,distorted label(UpLow)
1066,2023-11-30 21:53:44,,eVENT 13 END,EVENT 13 END,distorted label(UpLow)
1073,2023-12-01 05:03:53,,info recFeived,info received,distorted label(Insert)
1075,2023-12-01 03:56:33,Clerk-000004,Perform cbecks,Perform checks,distorted label(Proximity)
108,2023-10-05 00:33:18,,Info received,info received,distorted label(UpLow)
1080,2023-12-01 08:01:19,Clerk-000001,Check for compZleteness,Check for completeness,distorted label(Insert)
109,2023-10-05 00:13:46,,review reqest received,review request received,distorted label(Skip)
1099,2023-12-04 01:16:19,Clerk-000004,Perform checs,Perform checks,distorted label(Skip)
1101,2023-12-04 01:06:19,,EVEJT 13 END,EVENT 13 END,distorted label(Proximity)
111,2023-10-05 01:02:25,Clerk-000006,Check for ocmpleteness,Check for completeness,distorted label(Interchange)
111,2023-10-05 02:18:26,Clerk-000006,Perforh checks,Perform checks,distorted label(Proximity)
1117,2023-12-04 09:02:02,Manager-000005,Make decisio,Make decision,distorted label(Skip)
1119,2023-12-04 10:11:34,Manager-000002,Request inf,Request info,distorted label(Skip)
1123,2023-12-04 14:30:25,,Time out,time out,distorted label(UpLow)
1131,2023-12-04 20:15:11,Manager-000005,Dieliver card,Deliver card,distorted label(Insert)
114,2023-10-05 03:11:27,Clerk-000001,Perform check,Perform checks,distorted label(Skip)
114,2023-10-05 03:51:09,,EVENT 13 EDN,EVENT 13 END,distorted label(Interchange)
1153,2023-12-05 20:26:18,,New online applicztion received,New online application received,distorted label(Proximity)
1153,2023-12-05 21:28:27,,Info received,info received,distorted label(UpLow)
1153,2023-12-05 21:36:15,Manager-000003,Requwst info,Requwst info,distorted label(Proximity)
1156,2023-12-05 21:06:14,Clerk-000005,check for completeness,Check for completeness,distorted label(UpLow)
1156,2023-12-05 21:15:35,Manager-000001,Make decisin,Make decision,distorted label(Skip)
116,2023-10-05 08:06:21,,WVENT 13 END,EVENT 13 END,distorted label(Proximity)
1167,2023-12-06 07:06:26,Clerk-000006,Check for completreness,Check for completeness,distorted label(Insert)
1167,2023-12-06 08:08:44,Manager-000003,Make Wdecision,Make decision,distorted label(Insert)
1168,2023-12-06 11:06:57,Clerk-000004,Check for copleteness,Check for completeness,distorted label(Skip)
1170,2023-12-06 13:17:39,Manager-000003,Notnify accept,Notify accept,distorted label(Insert)
118,2023-10-05 10:43:07,Manager-000001,make decision,Make decision,distorted label(UpLow)
