Case,Timestamp,Activity,Resource,label
0,2024-05-06 18:00:00,Take order,Waiter-000001,
0,2024-05-06 18:00:00,start,,
0,2024-05-06 18:00:26,Review order,Waiter-000002,
0,2024-05-06 18:01:27,Prepare main course,Cook-000001,
0,2024-05-06 18:01:27,prepare drinks,Barman-000001,
0,2024-05-06 18:08:55,Signal food complete,Cook-000002,
0,2024-05-06 18:10:35,Bring drinks,Barman-000002,
0,2024-05-06 18:13:26,Review drinks,Waiter-000003,
0,2024-05-06 18:17:06,Bring food,Cook helper-000001,
0,2024-05-06 18:28:15,Deliver to customer,Waiter-000001,
0,2024-05-06 18:28:36,EVENT 8 END,,
1,2024-05-06 18:15:00,Take order,Waiter-000004,
1,2024-05-06 18:15:00,start,,
1,2024-05-06 18:21:16,Review order,Waiter-000005,
1,2024-05-06 18:21:19,Prepare main course,Cook-000003,
1,2024-05-06 18:21:19,prepare drinks,Barman-000003,
1,2024-05-06 18:28:22,Signal food complete,Cook-000001,
1,2024-05-06 18:32:39,Bring food,Cook helper-000002,
1,2024-05-06 18:37:42,Bring drinks,Barman-000001,
1,2024-05-06 18:38:19,Review drinks,Waiter-000004,
1,2024-05-06 18:41:38,Deliver to customer,Waiter-000001,
1,2024-05-06 18:48:07,EVENT 8 END,,
2,2024-05-06 18:30:00,Take order,Waiter-000002,
2,2024-05-06 18:30:00,start,,
2,2024-05-06 18:30:00,Bring drinks_signed1,,collateral events(Bring drinks)
2,2024-05-06 18:31:43,Review order,Waiter-000003,
2,2024-05-06 18:31:44,Bring drinks_signed1,Waiter-000003,collateral events(Bring drinks)
2,2024-05-06 18:32:39,Prepare main course,Cook-000002,
2,2024-05-06 18:32:39,Prepare starter,Cook helper-000003,
2,2024-05-06 18:32:39,prepare drinks,Barman-000001,
2,2024-05-06 18:32:39,Bring drinks_signed1,Cook helper-000003,collateral events(Bring drinks)
2,2024-05-06 18:33:35,Bring drinks,Barman-000002,
2,2024-05-06 18:41:33,Review drinks,Waiter-000005,
2,2024-05-06 18:41:34,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
2,2024-05-06 18:42:38,Signal food complete,Cook-000003,
2,2024-05-06 18:42:39,Bring drinks_signed1,Cook-000003,collateral events(Bring drinks)
2,2024-05-06 18:52:02,Bring food,Cook helper-000001,
2,2024-05-06 18:52:03,Bring drinks_signed1,Cook helper-000001,collateral events(Bring drinks)
2,2024-05-06 18:52:55,Deliver to customer,Waiter-000005,
2,2024-05-06 18:52:56,Bring drinks_signed1,Waiter-000005,collateral events(Bring drinks)
2,2024-05-06 18:56:24,EVENT 8 END,,
2,2024-05-06 18:56:25,Bring drinks_signed1,,collateral events(Bring drinks)
3,2024-05-06 18:45:00,Take order,Waiter-000002,
3,2024-05-06 18:45:00,start,,
3,2024-05-06 18:45:00,Bring drinks_signed1,Waiter-000002,collateral events(Bring drinks)
3,2024-05-06 18:45:42,Review order,Waiter-000003,
