Case,Timestamp,Activity,Activity_fixed,Resource,label
1003,2024-06-18 20:45:00.000,strat,strat,,distorted label(Interchange)
1003,2024-06-18 20:59:42.660,Review qdrinks,Review drinks,Waiter-000003,distorted label(Insert)
1007,2024-06-20 18:10:48.793,Prepare main cvourse,Prepare main course,Cook-000002,distorted label(Insert)
101,2024-05-09 19:35:00.255,review drinks,Review drinks,Waiter-000002,distorted label(UpLow)
1015,2024-06-20 21:25:23.654,Prepare main coruse,Prepare main course,Cook-000001,distorted label(Interchange)
1021,2024-06-19 01:15:00.000,stat,statr,,distorted label(Skip)
1021,2024-06-19 01:15:50.571,Review orcer,Review order,Waiter-000004,distorted label(Proximity)
1025,2024-06-19 18:21:32.191,prspare drinks,prepare drinks,Barman-000001,distorted label(Proximity)
1025,2024-06-19 18:39:44.754,zBring drinks,Bring drinks,Barman-000001,distorted label(Insert)
1034,2024-06-25 19:09:04.023,EVENT 8 EDN,EVENT 8 END,,distorted label(Interchange)
1047,2024-06-20 00:30:41.965,review drinks,Review drinks,Waiter-000003,distorted label(UpLow)
1047,2024-06-26 01:14:55.802,Deliver toh customer,Deliver to customer,Waiter-000002,distorted label(Insert)
106,2024-05-09 20:33:03.849,Reivew order,Review order,Waiter-000002,distorted label(Interchange)
1063,2024-06-20 19:45:00.000,Take orer,Take orer,Waiter-000001,distorted label(Skip)
1066,2024-06-20 20:30:00.000,satrt,satrt,,distorted label(Interchange)
1066,2024-06-20 20:36:58.795,prepare starter,Prepare starter,Cook helper-000001,distorted label(UpLow)
1066,2024-06-20 20:59:10.959,prepare dribks,prepare drinks,Barman-000003,distorted label(Proximity)
1066,2024-06-26 20:49:25.779,eVENT 8 END,EVENT 8 END,,distorted label(UpLow)
1070,2024-06-20 21:31:46.688,Revieworder,Review order,Waiter-000004,distorted label(Skip)
1070,2024-06-26 21:43:46.062,signal food complete,Signal food complete,Cook-000003,distorted label(UpLow)
1080,2024-06-21 00:00:00.000,Start,start,,distorted label(UpLow)
1098,2024-06-27 21:21:43.907,SignNal food complete,Signal food complete,Cook-000001,distorted label(Insert)
110,2024-05-09 22:09:00.665,signal food complete,Signal food complete,Cook-000002,distorted label(UpLow)
1103,2024-06-21 21:46:15.505,Preare starter,Prepare starter,Cook helper-000002,distorted label(Skip)
1114,2024-06-22 00:52:11.108,Bring drins,Bring drinks,Barman-000002,distorted label(Skip)
1125,2024-06-24 19:31:35.390,review drinks,Review drinks,Waiter-000005,distorted label(UpLow)
1126,2024-06-24 19:37:03.718,Review deinks,Review drinks,Waiter-000004,distorted label(Proximity)
1126,2024-06-26 18:30:45.476,EVtENT 8 END,EVENT 8 END,,distorted label(Insert)
1133,2024-06-28 23:39:37.945,Signal food comllete,Signal food complete,Cook-000003,distorted label(Proximity)
1134,2024-06-24 21:37:00.384,Review drJinks,Review drinks,Waiter-000001,distorted label(Insert)
1140,2024-06-29 01:29:50.370,EVEN T8 END,EVEN T8 END,,distorted label(Interchange)
115,2024-05-09 23:53:19.641,review drinks,Review drinks,Waiter-000002,distorted label(UpLow)
1157,2024-06-27 20:44:48.467,prepare main course,Prepare main course,Cook-000001,distorted label(UpLow)
1175,2024-06-28 01:24:08.361,Prepare man course,Prepare main course,Cook-000001,distorted label(Skip)
1186,2024-06-28 20:31:14.233,PrepMare main course,Prepare main course,Cook-000002,distorted label(Insert)
1186,2024-07-02 23:42:36.343,EVNET 8 END,EVNET 8 END,,distorted label(Interchange)
1195,2024-07-03 00:46:32.992,Bringf ood,Bringf ood,Cook helper-000002,distorted label(Interchange)
1197,2024-06-26 21:26:32.150,review drinks,Review drinks,Waiter-000004,distorted label(UpLow)
1197,2024-07-03 01:23:38.762,signal food complete,Signal food complete,Cook-000001,distorted label(UpLow)
1198,2024-07-03 01:11:55.086,Signal food complte,Signal food complete,Cook-000001,distorted label(Skip)
1198,2024-07-03 01:25:21.911,"De,iver to customer",Deliver to customer,Waiter-000003,distorted label(Proximity)
1202,2024-06-26 22:39:05.912,Review drinls,Review drinks,Waiter-000004,distorted label(Proximity)
1204,2024-06-26 23:12:19.698,Review dirnks,Review drinks,Waiter-000003,distorted label(Interchange)
1207,2024-06-26 23:45:06.733,ReviewI order,Review order,Waiter-000003,distorted label(Insert)
1207,2024-06-29 00:12:01.068,Prepare mani course,Prepare main course,Cook-000002,distorted label(Interchange)
121,2024-05-10 00:46:05.188,signal food complete,Signal food complete,Cook-000003,distorted label(UpLow)
1213,2024-06-27 01:32:18.536,review drinks,Review drinks,Waiter-000004,distorted label(UpLow)
1213,2024-06-27 01:49:07.814,Review drins,Review drinks,Waiter-000003,distorted label(Skip)
1213,2024-07-03 20:38:54.623,BringT food,BringT food,Cook helper-000001,distorted label(Insert)
1218,2024-07-01 19:20:10.120,eVENT 8 END,EVENT 8 END,,distorted label(UpLow)
1222,2024-07-04 00:30:08.590,Deliver to custoGmer,Deliver to customer,Waiter-000004,distorted label(Insert)
1224,2024-06-27 20:04:24.803,prepare drinkks,prepare drinks,Barman-000002,distorted label(Insert)
1225,2024-06-27 20:16:21.077,peepare drinks,prepare drinks,Barman-000003,distorted label(Proximity)
1232,2024-06-27 22:03:41.688,Review roder,Review order,Waiter-000004,distorted label(Interchange)
1235,2024-07-04 18:53:53.698,ignal food complete,Signal food complete,Cook-000002,distorted label(Skip)
1242,2024-06-28 00:56:22.923,Revew drinks,Review drinks,Waiter-000005,distorted label(Skip)
1245,2024-06-28 01:15:00.000,Take ordrr,Take order,Waiter-000003,distorted label(Proximity)
1248,2024-07-04 22:10:25.466,EVENT 8 iEND,EVENT 8 END,,distorted label(Insert)
1254,2024-06-28 19:43:16.319,prpare drinks,prepare drinks,Barman-000002,distorted label(Skip)
1257,2024-07-05 01:00:16.199,Signl food complete,Signal food complete,Cook-000001,distorted label(Skip)
1257,2024-07-05 01:17:17.090,Brnig food,Brnig food,Cook helper-000002,distorted label(Interchange)
1270,2024-07-05 20:24:33.364,EVENT 8 ENS,EVENT 8 END,,distorted label(Proximity)
128,2024-05-10 18:00:00.000,Takeorder,Takeorder,Waiter-000001,distorted label(Skip)
128,2024-05-10 19:38:39.397,Deliver ot customer,Deliver to customer,Waiter-000003,distorted label(Interchange)
1289,2024-07-01 20:15:00.000,Start,start,,distorted label(UpLow)
1294,2024-07-01 21:31:54.704,Revie worder,Review order,Waiter-000003,distorted label(Interchange)
1294,2024-07-01 21:32:47.145,Prepare tsarter,Prepare starter,Cook helper-000002,distorted label(Interchange)
1300,2024-07-01 23:32:39.644,Review dinks,Review drinks,Waiter-000004,distorted label(Skip)
1306,2024-07-02 00:41:46.715,bring drinks,Bring drinks,Barman-000001,distorted label(UpLow)
1306,2024-07-02 00:50:09.227,review drinks,Review drinks,Waiter-000001,distorted label(UpLow)
1309,2024-07-02 01:15:00.000,Take ordezr,Take order,Waiter-000004,distorted label(Insert)
1321,2024-07-02 20:21:51.957,prepare drihks,prepare drinks,Barman-000003,distorted label(Proximity)
1321,2024-07-02 20:31:09.708,Bring drnks,Bring drinks,Barman-000002,distorted label(Skip)
1321,2024-07-02 20:37:16.261,review drinks,Review drinks,Waiter-000005,distorted label(UpLow)
1321,2024-07-04 22:33:15.868,Prepanre main course,Prepare main course,Cook-000002,distorted label(Insert)
1329,2024-07-02 22:18:27.617,Review drinkd,Review drinks,Waiter-000001,distorted label(Proximity)
1333,2024-07-02 23:15:00.000,sart,tsart,,distorted label(Skip)
1335,2024-07-02 23:46:31.800,Reviewo rder,Review order,Waiter-000005,distorted label(Interchange)
1335,2024-07-05 18:06:31.630,Prepar emain course,Prepare main course,Cook-000001,distorted label(Interchange)
1337,2024-07-03 00:17:07.390,Revie order,Review order,Waiter-000005,distorted label(Skip)
1339,2024-07-03 01:01:44.987,Rveiew drinks,Review drinks,Waiter-000003,distorted label(Interchange)
1343,2024-07-03 01:45:15.566,Reviea order,Review order,Waiter-000003,distorted label(Proximity)
1351,2024-07-03 19:50:33.256,Rueview order,Review order,Waiter-000001,distorted label(Insert)
1352,2024-07-10 20:34:51.985,Bring f;od,Bring food,Cook helper-000001,distorted label(Proximity)
1354,2024-07-10 21:14:32.142,DeliveXr to customer,Deliver to customer,Waiter-000005,distorted label(Insert)
1356,2024-07-03 21:00:22.776,Prepare drinks,prepare drinks,Barman-000001,distorted label(UpLow)
1358,2024-07-10 21:49:56.666,bring food,Bring food,Cook helper-000002,distorted label(UpLow)
1360,2024-07-03 22:03:21.740,prmepare drinks,prepare drinks,Barman-000001,distorted label(Insert)
1363,2024-07-03 22:45:00.000,Start,start,,distorted label(UpLow)
1363,2024-07-03 22:45:03.869,review order,Review order,Waiter-000002,distorted label(UpLow)
1363,2024-07-03 22:51:40.402,NBring drinks,Bring drinks,Barman-000003,distorted label(Insert)
1363,2024-07-03 22:54:54.006,Brinrg drinks,Bring drinks,Barman-000003,distorted label(Insert)
1363,2024-07-10 23:14:00.044,Brign food,Brign food,Cook helper-000001,distorted label(Interchange)
1372,2024-07-04 01:00:26.571,review order,Review order,Waiter-000003,distorted label(UpLow)
1382,2024-07-04 19:30:00.000,Tke order,Take order,Waiter-000005,distorted label(Skip)
1382,2024-07-04 19:53:22.197,RevieGw drinks,Review drinks,Waiter-000005,distorted label(Insert)
1382,2024-07-04 20:10:35.163,Teview drinks,Review drinks,Waiter-000004,distorted label(Proximity)
1382,2024-07-09 00:03:48.590,PTrepare main course,Prepare main course,Cook-000003,distorted label(Insert)
1383,2024-07-11 20:28:25.791,Deliver to cusyomer,Deliver to customer,Waiter-000001,distorted label(Proximity)
1385,2024-07-04 20:15:00.000,Start,start,,distorted label(UpLow)
1385,2024-07-11 20:31:02.350,Bring fovod,Bring food,Cook helper-000002,distorted label(Insert)
1394,2024-07-04 22:35:24.662,prepare drniks,prepare drinks,Barman-000002,distorted label(Interchange)
1394,2024-07-11 22:00:42.832,Signal fod complete,Signal food complete,Cook-000001,distorted label(Skip)
1402,2024-07-05 01:15:51.180,Review dtrinks,Review drinks,Waiter-000001,distorted label(Insert)
1402,2024-07-05 01:26:36.377,Bfing drinks,Bring drinks,Barman-000003,distorted label(Proximity)
1406,2024-07-05 01:43:37.784,Bringd rinks,Bringd rinks,Barman-000001,distorted label(Interchange)
141,2024-05-10 23:12:28.927,EVENT 8d END,EVENT 8 END,,distorted label(Insert)
1417,2024-07-12 23:16:31.354,Delievr to customer,Deliver to customer,Waiter-000002,distorted label(Interchange)
