Case,Activity,Timestamp,Resource,label
0,take order,2024-05-06 18:00:00.000,Waiter-000001,
0,start,2024-05-06 18:00:00.000,,
0,review order,2024-05-06 18:00:26.397,Waiter-000002,
0,prepare main course,2024-05-06 18:01:27.727,Cook-000001,
0,prepare drinks,2024-05-06 18:01:27.727,Barman-000001,
0,signal food complete,2024-05-06 18:08:55.574,Cook-000002,
0,bring drinks,2024-05-06 18:10:35.746,Barman-000002,
0,review drinks,2024-05-06 18:13:26.601,Waiter-000003,
0,bring food,2024-05-06 18:17:06.274,Cook helper-000001,
0,deliver to customer,2024-05-06 18:28:15.901,Waiter-000001,
0,event 8 end,2024-05-06 18:28:36.374,,
1,take order,2024-05-06 18:15:00.000,Waiter-000004,
1,start,2024-05-06 18:15:00.000,,
1,review order,2024-05-06 18:21:16.885,Waiter-000005,
1,prepare main course,2024-05-06 18:21:19.290,Cook-000003,
1,prepare drinks,2024-05-06 18:21:19.290,Barman-000003,
1,signal food complete,2024-05-06 18:28:22.423,Cook-000001,
1,bring food,2024-05-06 18:32:39.040,Cook helper-000002,
1,bring drinks,2024-05-06 18:37:42.138,Barman-000001,synonymous label('Bring drinks')
1,review drinks,2024-05-06 18:38:19.504,Waiter-000004,
1,deliver to customer,2024-05-06 18:41:38.777,Waiter-000001,
1,event 8 end,2024-05-06 18:48:07.685,,
2,take order,2024-05-06 18:30:00.000,Waiter-000002,
2,start,2024-05-06 18:30:00.000,,
2,review order,2024-05-06 18:31:43.657,Waiter-000003,
2,prepare main course,2024-05-06 18:32:39.248,Cook-000002,
2,prepare starter,2024-05-06 18:32:39.248,Cook helper-000003,
2,prepare drinks,2024-05-06 18:32:39.248,Barman-000001,
2,bring drinks,2024-05-06 18:33:35.761,Barman-000002,synonymous label('Bring drinks')
2,review drinks,2024-05-06 18:41:33.110,Waiter-000005,
2,signal food complete,2024-05-06 18:42:38.623,Cook-000003,
2,bring food,2024-05-06 18:52:02.985,Cook helper-000001,
2,deliver to customer,2024-05-06 18:52:55.482,Waiter-000005,
2,event 8 end,2024-05-06 18:56:24.810,,
3,take order,2024-05-06 18:45:00.000,Waiter-000002,
3,start,2024-05-06 18:45:00.000,,
3,review order,2024-05-06 18:45:42.434,Waiter-000003,
3,prepare main course,2024-05-06 18:46:01.187,Cook-000001,
3,prepare drinks,2024-05-06 18:46:01.187,Barman-000003,
3,bring drinks,2024-05-06 18:46:25.135,Barman-000001,
3,review drinks,2024-05-06 18:49:49.033,Waiter-000004,
3,prepare drinks,2024-05-06 18:53:13.575,Barman-000002,
3,bring drinks,2024-05-06 19:02:51.779,Barman-000001,
3,review drinks,2024-05-06 19:05:53.390,Waiter-000001,
3,signal food complete,2024-05-06 19:38:29.090,Cook-000001,
3,bring food,2024-05-06 19:56:37.626,Cook helper-000001,
3,deliver to customer,2024-05-06 19:59:50.671,Waiter-000004,
3,event 8 end,2024-05-06 20:00:52.004,,
4,take order,2024-05-06 19:00:00.000,Waiter-000002,
4,start,2024-05-06 19:00:00.000,,
4,review order,2024-05-06 19:01:14.635,Waiter-000003,
4,prepare starter,2024-05-06 19:01:40.513,Cook helper-000003,
4,prepare drinks,2024-05-06 19:01:40.513,Barman-000003,
4,signal food complete,2024-05-06 19:01:41.077,Cook-000002,
4,bring drinks,2024-05-06 19:11:57.561,Barman-000002,
4,review drinks,2024-05-06 19:16:42.082,Waiter-000002,
4,bring food,2024-05-06 19:29:56.764,Cook helper-000002,
4,deliver to customer,2024-05-06 19:32:28.195,Waiter-000004,
4,event 8 end,2024-05-06 19:37:12.080,,
5,take order,2024-05-06 19:15:00.000,Waiter-000004,
5,start,2024-05-06 19:15:00.000,,
5,review order,2024-05-06 19:16:14.700,Waiter-000005,
5,prepare main course,2024-05-06 19:16:25.545,Cook-000003,
5,prepare drinks,2024-05-06 19:16:25.545,Barman-000001,
5,bring drinks,2024-05-06 19:39:00.219,Barman-000003,
5,review drinks,2024-05-06 19:41:06.362,Waiter-000002,
5,signal food complete,2024-05-06 19:57:21.743,Cook-000003,
5,bring food,2024-05-06 20:07:38.081,Cook helper-000002,
5,deliver to customer,2024-05-06 20:09:58.152,Waiter-000005,
5,event 8 end,2024-05-06 20:10:29.307,,
6,take order,2024-05-06 19:30:00.000,Waiter-000003,
6,start,2024-05-06 19:30:00.000,,
6,review order,2024-05-06 19:30:01.617,Waiter-000001,
6,prepare main course,2024-05-06 19:31:15.792,Cook-000002,
6,prepare drinks,2024-05-06 19:31:15.792,Barman-000003,
6,bring drinks,2024-05-06 19:31:50.421,Barman-000002,
6,review drinks,2024-05-06 19:34:50.443,Waiter-000005,
