Case,Activity,Timestamp,Resource,label,iscollateral,BaseActivity,ProcessedActivity,CollateralGroup,is_collateral_event,y_true,Activity_fixed
0,Take order,2024-05-06 18:00:00,Waiter-000001,,0,Take order,take order,0,0,0,Take order
0,start,2024-05-06 18:00:00,,,0,start,start,-1,0,0,start
0,Review order,2024-05-06 18:00:26,Waiter-000002,,0,Review order,review order,-1,0,0,Review order
0,Prepare main course,2024-05-06 18:01:27,Cook-000001,,0,Prepare main course,prepare main course,1,0,0,Prepare main course
0,prepare drinks,2024-05-06 18:01:27,Barman-000001,,0,prepare drinks,prepare drinks,-1,0,0,prepare drinks
0,Signal food complete,2024-05-06 18:08:55,Cook-000002,,0,Signal food complete,signal food complete,-1,0,0,Signal food complete
0,Bring drinks,2024-05-06 18:10:35,Barman-000002,,0,Bring drinks,bring drinks,-1,0,0,Bring drinks
0,Review drinks,2024-05-06 18:13:26,Waiter-000003,,0,Review drinks,review drinks,-1,0,0,Review drinks
0,Bring food,2024-05-06 18:17:06,Cook helper-000001,,0,Bring food,bring food,-1,0,0,Bring food
0,Deliver to customer,2024-05-06 18:28:15,Waiter-000001,,0,Deliver to customer,deliver to customer,-1,0,0,Deliver to customer
0,EVENT 8 END,2024-05-06 18:28:36,,,0,EVENT 8 END,event 8 end,-1,0,0,EVENT 8 END
1,Take order,2024-05-06 18:15:00,Waiter-000004,,0,Take order,take order,2,0,0,Take order
1,start,2024-05-06 18:15:00,,,0,start,start,-1,0,0,start
1,Review order,2024-05-06 18:21:16,Waiter-000005,,0,Review order,review order,-1,0,0,Review order
1,Prepare main course,2024-05-06 18:21:19,Cook-000003,,0,Prepare main course,prepare main course,3,0,0,Prepare main course
1,prepare drinks,2024-05-06 18:21:19,Barman-000003,,0,prepare drinks,prepare drinks,-1,0,0,prepare drinks
1,Signal food complete,2024-05-06 18:28:22,Cook-000001,,0,Signal food complete,signal food complete,-1,0,0,Signal food complete
1,Bring food,2024-05-06 18:32:39,Cook helper-000002,,0,Bring food,bring food,-1,0,0,Bring food
1,Bring drinks,2024-05-06 18:37:42,Barman-000001,,0,Bring drinks,bring drinks,-1,0,0,Bring drinks
1,Review drinks,2024-05-06 18:38:19,Waiter-000004,,0,Review drinks,review drinks,-1,0,0,Review drinks
1,Deliver to customer,2024-05-06 18:41:38,Waiter-000001,,0,Deliver to customer,deliver to customer,-1,0,0,Deliver to customer
1,EVENT 8 END,2024-05-06 18:48:07,,,0,EVENT 8 END,event 8 end,-1,0,0,EVENT 8 END
2,Take order,2024-05-06 18:30:00,Waiter-000002,,0,Take order,take order,4,0,0,Take order
2,start,2024-05-06 18:30:00,,,0,start,start,-1,0,0,start
2,Review order,2024-05-06 18:31:43,Waiter-000003,,0,Review order,review order,6,0,0,Review order
2,Bring drinks_signed1,2024-05-06 18:31:44,Waiter-000003,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed1
2,Bring drinks_signed2,2024-05-06 18:31:45,Waiter-000003,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed2
2,Prepare main course,2024-05-06 18:32:39,Cook-000002,,0,Prepare main course,prepare main course,7,0,0,Prepare main course
2,Prepare starter,2024-05-06 18:32:39,Cook helper-000003,,0,Prepare starter,prepare starter,-1,0,0,Prepare starter
2,prepare drinks,2024-05-06 18:32:39,Barman-000001,,0,prepare drinks,prepare drinks,8,0,0,prepare drinks
2,Bring drinks_signed1,2024-05-06 18:32:39,Cook helper-000003,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed1
2,Bring drinks,2024-05-06 18:33:35,Barman-000002,,0,Bring drinks,bring drinks,10,0,0,Bring drinks
2,Review drinks,2024-05-06 18:41:33,Waiter-000005,,0,Review drinks,review drinks,11,0,0,Review drinks
2,Bring drinks_signed1,2024-05-06 18:41:34,Waiter-000005,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed1
2,Bring drinks_signed2,2024-05-06 18:41:34,Waiter-000005,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed2
2,Signal food complete,2024-05-06 18:42:38,Cook-000003,,0,Signal food complete,signal food complete,12,0,0,Signal food complete
2,Bring drinks_signed1,2024-05-06 18:42:39,Cook-000003,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed1
2,Bring drinks_signed2,2024-05-06 18:42:39,Cook-000003,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed2
2,Bring food,2024-05-06 18:52:02,Cook helper-000001,,0,Bring food,bring food,13,0,0,Bring food
2,Bring drinks_signed1,2024-05-06 18:52:03,Cook helper-000001,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed1
2,Bring drinks_signed2,2024-05-06 18:52:03,Cook helper-000001,collateral events(Bring drinks),0,Bring drinks,bring drinks,-1,0,1,Bring drinks_signed2
2,Deliver to customer,2024-05-06 18:52:55,Waiter-000005,,0,Deliver to customer,deliver to customer,14,0,0,Deliver to customer
