Case,Timestamp,Resource,Activity,Activity_fixed,ishomonymous
0,2024-05-06 18:00:00,Waiter-000001,Take order,Take order,0
0,2024-05-06 18:00:00,,start,start,0
0,2024-05-06 18:00:26,Waiter-000002,Review order,Review order,0
0,2024-05-06 18:01:27,Cook-000001,Prepare main course,Prepare main course,0
0,2024-05-06 18:01:27,Barman-000001,prepare drinks,prepare drinks,0
0,2024-05-06 18:08:55,Cook-000002,Signal food complete,Signal food complete,0
0,2024-05-06 18:10:35,Barman-000002,Bring drinks,Bring drinks,0
0,2024-05-06 18:13:26,Waiter-000003,Review drinks,Review drinks,0
0,2024-05-06 18:17:06,Cook helper-000001,Bring food,Bring food,0
0,2024-05-06 18:28:15,Waiter-000001,Deliver to customer,Deliver to customer,0
0,2024-05-06 18:28:36,,EVENT 8 END,EVENT 8 END,0
1,2024-05-06 18:15:00,Waiter-000004,Take order,Take order,0
1,2024-05-06 18:15:00,,start,start,0
1,2024-05-06 18:21:16,Waiter-000005,Review order,Review order,0
1,2024-05-06 18:21:19,Cook-000003,Prepare main course,Prepare main course,0
1,2024-05-06 18:21:19,Barman-000003,prepare drinks,prepare drinks,0
1,2024-05-06 18:28:22,Cook-000001,Signal food complete,Signal food complete,0
1,2024-05-06 18:32:39,Cook helper-000002,Bring food,Bring food,0
1,2024-05-06 18:37:42,Barman-000001,Bring drinks,Bring drinks,0
1,2024-05-06 18:38:19,Waiter-000004,Review drinks,Review drinks,0
1,2024-05-06 18:41:38,Waiter-000001,Deliver to customer,Deliver to customer,0
1,2024-05-06 18:48:07,,EVENT 8 END,EVENT 8 END,0
2,2024-05-06 18:30:00,Waiter-000002,Take order,Take order,0
2,2024-05-06 18:30:00,,start,start,0
2,2024-05-06 18:31:43,Waiter-000003,Review order,Review order,0
2,2024-05-06 18:32:39,Cook-000002,Prepare main course,Prepare main course,0
2,2024-05-06 18:32:39,Cook helper-000003,Prepare starter,Prepare starter,0
2,2024-05-06 18:32:39,Barman-000001,prepare drinks,prepare drinks,0
2,2024-05-06 18:33:35,Barman-000002,Bring drinks,Bring drinks,0
2,2024-05-06 18:41:33,Waiter-000005,Review drinks,Review drinks,0
2,2024-05-06 18:42:38,Cook-000003,Signal food complete,Signal food complete,0
2,2024-05-06 18:52:02,Cook helper-000001,Bring food,Bring food,0
2,2024-05-06 18:52:55,Waiter-000005,Deliver to customer,Deliver to customer,0
2,2024-05-06 18:56:24,,EVENT 8 END,EVENT 8 END,0
3,2024-05-06 18:45:00,Waiter-000002,Take order,Take order,0
3,2024-05-06 18:45:00,,start,start,0
3,2024-05-06 18:45:42,Waiter-000003,Review order,Review order,0
3,2024-05-06 18:46:01,Cook-000001,Prepare main course,Prepare main course,0
3,2024-05-06 18:46:01,Barman-000003,prepare drinks,prepare drinks,0
3,2024-05-06 18:46:25,Barman-000001,Bring drinks,Bring drinks,0
3,2024-05-06 18:49:49,Waiter-000004,Review drinks,Review drinks,0
3,2024-05-06 18:53:13,Barman-000002,prepare drinks,prepare drinks,0
3,2024-05-06 19:02:51,Barman-000001,Bring drinks,Bring drinks,0
3,2024-05-06 19:05:53,Waiter-000001,Review drinks,Review drinks,0
3,2024-05-06 19:38:29,Cook-000001,Signal food complete,Signal food complete,0
3,2024-05-06 19:56:37,Cook helper-000001,Bring food,Bring food,0
3,2024-05-06 19:59:50,Waiter-000004,Deliver to customer,Deliver to customer,0
