Case,Timestamp,Resource,Activity,Activity_fixed,label
1003,2024-06-18 20:45:00,,strat,strat,distorted label(Interchange)
1003,2024-06-18 20:59:42,Waiter-000003,Review qdrinks,Review qdrinks,distorted label(Insert)
1007,2024-06-20 18:10:48,Cook-000002,Prepare main cvourse,Prepare main course,distorted label(Insert)
101,2024-05-09 19:35:00,Waiter-000002,review drinks,Review drinks,distorted label(UpLow)
1015,2024-06-20 21:25:23,Cook-000001,Prepare main coruse,Prepare main course,distorted label(Interchange)
1021,2024-06-19 01:15:00,,stat,start,distorted label(Skip)
1021,2024-06-19 01:15:50,Waiter-000004,Review orcer,Review orcer,distorted label(Proximity)
1025,2024-06-19 18:21:32,Barman-000001,prspare drinks,prspare drinks,distorted label(Proximity)
1025,2024-06-19 18:39:44,Barman-000001,zBring drinks,Bring drinks,distorted label(Insert)
1034,2024-06-25 19:09:04,,EVENT 8 EDN,EVENT 8 ED,distorted label(Interchange)
1047,2024-06-20 00:30:41,Waiter-000003,review drinks,Review drinks,distorted label(UpLow)
1047,2024-06-26 01:14:55,Waiter-000002,Deliver toh customer,Deliver toh customer,distorted label(Insert)
106,2024-05-09 20:33:03,Waiter-000002,Reivew order,Reivew order,distorted label(Interchange)
1063,2024-06-20 19:45:00,Waiter-000001,Take orer,Take order,distorted label(Skip)
1066,2024-06-20 20:30:00,,satrt,satrt,distorted label(Interchange)
1066,2024-06-20 20:36:58,Cook helper-000001,prepare starter,Prepare starter,distorted label(UpLow)
1066,2024-06-20 20:59:10,Barman-000003,prepare dribks,prepare dribks,distorted label(Proximity)
1066,2024-06-26 20:49:25,,eVENT 8 END,EVENT 8 END,distorted label(UpLow)
1070,2024-06-20 21:31:46,Waiter-000004,Revieworder,Review order,distorted label(Skip)
1070,2024-06-26 21:43:46,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
1080,2024-06-21 00:00:00,,Start,start,distorted label(UpLow)
1098,2024-06-27 21:21:43,Cook-000001,SignNal food complete,Signal food complete,distorted label(Insert)
110,2024-05-09 22:09:00,Cook-000002,signal food complete,Signal food complete,distorted label(UpLow)
1103,2024-06-21 21:46:15,Cook helper-000002,Preare starter,Preare starter,distorted label(Skip)
1114,2024-06-22 00:52:11,Barman-000002,Bring drins,Bring drinks,distorted label(Skip)
1125,2024-06-24 19:31:35,Waiter-000005,review drinks,Review drinks,distorted label(UpLow)
1126,2024-06-24 19:37:03,Waiter-000004,Review deinks,Review deinks,distorted label(Proximity)
1126,2024-06-26 18:30:45,,EVtENT 8 END,EVtENT 8 END,distorted label(Insert)
1133,2024-06-28 23:39:37,Cook-000003,Signal food comllete,Signal food complete,distorted label(Proximity)
1134,2024-06-24 21:37:00,Waiter-000001,Review drJinks,Review drJinks,distorted label(Insert)
1140,2024-06-29 01:29:50,,EVEN T8 END,EVEN T8 END,distorted label(Interchange)
115,2024-05-09 23:53:19,Waiter-000002,review drinks,Review drinks,distorted label(UpLow)
1157,2024-06-27 20:44:48,Cook-000001,prepare main course,Prepare main course,distorted label(UpLow)
1175,2024-06-28 01:24:08,Cook-000001,Prepare man course,Prepare man course,distorted label(Skip)
1186,2024-06-28 20:31:14,Cook-000002,PrepMare main course,PrepMare main course,distorted label(Insert)
1186,2024-07-02 23:42:36,,EVNET 8 END,EVNET 8 END,distorted label(Interchange)
1195,2024-07-03 00:46:32,Cook helper-000002,Bringf ood,Bringf ood,distorted label(Interchange)
1197,2024-06-26 21:26:32,Waiter-000004,review drinks,Review drinks,distorted label(UpLow)
1197,2024-07-03 01:23:38,Cook-000001,signal food complete,Signal food complete,distorted label(UpLow)
1198,2024-07-03 01:11:55,Cook-000001,Signal food complte,Signal food complete,distorted label(Skip)
1198,2024-07-03 01:25:21,Waiter-000003,"De,iver to customer","De,iver to customer",distorted label(Proximity)
1202,2024-06-26 22:39:05,Waiter-000004,Review drinls,Review drinks,distorted label(Proximity)
1204,2024-06-26 23:12:19,Waiter-000003,Review dirnks,Review dirnks,distorted label(Interchange)
1207,2024-06-26 23:45:06,Waiter-000003,ReviewI order,Review order,distorted label(Insert)
1207,2024-06-29 00:12:01,Cook-000002,Prepare mani course,Prepare mani course,distorted label(Interchange)
121,2024-05-10 00:46:05,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
1213,2024-06-27 01:32:18,Waiter-000004,review drinks,Review drinks,distorted label(UpLow)
1213,2024-06-27 01:49:07,Waiter-000003,Review drins,Review drinks,distorted label(Skip)
1213,2024-07-03 20:38:54,Cook helper-000001,BringT food,BringT food,distorted label(Insert)
1218,2024-07-01 19:20:10,,eVENT 8 END,EVENT 8 END,distorted label(UpLow)
1222,2024-07-04 00:30:08,Waiter-000004,Deliver to custoGmer,Deliver to customer,distorted label(Insert)
1224,2024-06-27 20:04:24,Barman-000002,prepare drinkks,prepare drinks,distorted label(Insert)
1225,2024-06-27 20:16:21,Barman-000003,peepare drinks,peepare drinks,distorted label(Proximity)
1232,2024-06-27 22:03:41,Waiter-000004,Review roder,Review order,distorted label(Interchange)
1235,2024-07-04 18:53:53,Cook-000002,ignal food complete,Signal food complete,distorted label(Skip)
1242,2024-06-28 00:56:22,Waiter-000005,Revew drinks,Revew drinks,distorted label(Skip)
1245,2024-06-28 01:15:00,Waiter-000003,Take ordrr,Take order,distorted label(Proximity)
1248,2024-07-04 22:10:25,,EVENT 8 iEND,EVENT 8 iEND,distorted label(Insert)
1254,2024-06-28 19:43:16,Barman-000002,prpare drinks,prpare drinks,distorted label(Skip)
1257,2024-07-05 01:00:16,Cook-000001,Signl food complete,Signl food complete,distorted label(Skip)
1257,2024-07-05 01:17:17,Cook helper-000002,Brnig food,Brnig food,distorted label(Interchange)
1270,2024-07-05 20:24:33,,EVENT 8 ENS,EVENT 8 END,distorted label(Proximity)
128,2024-05-10 18:00:00,Waiter-000001,Takeorder,Tak order,distorted label(Skip)
128,2024-05-10 19:38:39,Waiter-000003,Deliver ot customer,Deliver ot customer,distorted label(Interchange)
1289,2024-07-01 20:15:00,,Start,start,distorted label(UpLow)
1294,2024-07-01 21:31:54,Waiter-000003,Revie worder,Revie worder,distorted label(Interchange)
1294,2024-07-01 21:32:47,Cook helper-000002,Prepare tsarter,Prepare tsarter,distorted label(Interchange)
1300,2024-07-01 23:32:39,Waiter-000004,Review dinks,Review dinks,distorted label(Skip)
1306,2024-07-02 00:41:46,Barman-000001,bring drinks,Bring drinks,distorted label(UpLow)
1306,2024-07-02 00:50:09,Waiter-000001,review drinks,Review drinks,distorted label(UpLow)
1309,2024-07-02 01:15:00,Waiter-000004,Take ordezr,Take ordezr,distorted label(Insert)
1321,2024-07-02 20:21:51,Barman-000003,prepare drihks,prepare drihks,distorted label(Proximity)
1321,2024-07-02 20:31:09,Barman-000002,Bring drnks,Bring drnks,distorted label(Skip)
1321,2024-07-02 20:37:16,Waiter-000005,review drinks,Review drinks,distorted label(UpLow)
1321,2024-07-04 22:33:15,Cook-000002,Prepanre main course,Prepanre main course,distorted label(Insert)
1329,2024-07-02 22:18:27,Waiter-000001,Review drinkd,Review drinks,distorted label(Proximity)
1333,2024-07-02 23:15:00,,sart,satrt,distorted label(Skip)
1335,2024-07-02 23:46:31,Waiter-000005,Reviewo rder,Review order,distorted label(Interchange)
1335,2024-07-05 18:06:31,Cook-000001,Prepar emain course,Prepar emain course,distorted label(Interchange)
1337,2024-07-03 00:17:07,Waiter-000005,Revie order,Revie order,distorted label(Skip)
1339,2024-07-03 01:01:44,Waiter-000003,Rveiew drinks,Rveiew drinks,distorted label(Interchange)
1343,2024-07-03 01:45:15,Waiter-000003,Reviea order,Reviea order,distorted label(Proximity)
1351,2024-07-03 19:50:33,Waiter-000001,Rueview order,Rueview order,distorted label(Insert)
1352,2024-07-10 20:34:51,Cook helper-000001,Bring f;od,Bring food,distorted label(Proximity)
1354,2024-07-10 21:14:32,Waiter-000005,DeliveXr to customer,DeliveXr to customer,distorted label(Insert)
1356,2024-07-03 21:00:22,Barman-000001,Prepare drinks,prepare drinks,distorted label(UpLow)
1358,2024-07-10 21:49:56,Cook helper-000002,bring food,Bring food,distorted label(UpLow)
1360,2024-07-03 22:03:21,Barman-000001,prmepare drinks,prmepare drinks,distorted label(Insert)
1363,2024-07-03 22:45:00,,Start,start,distorted label(UpLow)
1363,2024-07-03 22:45:03,Waiter-000002,review order,Review order,distorted label(UpLow)
1363,2024-07-03 22:51:40,Barman-000003,NBring drinks,Bring drinks,distorted label(Insert)
1363,2024-07-03 22:54:54,Barman-000003,Brinrg drinks,Brinrg drinks,distorted label(Insert)
1363,2024-07-10 23:14:00,Cook helper-000001,Brign food,Brign food,distorted label(Interchange)
1372,2024-07-04 01:00:26,Waiter-000003,review order,Review order,distorted label(UpLow)
1382,2024-07-04 19:30:00,Waiter-000005,Tke order,Tke order,distorted label(Skip)
1382,2024-07-04 19:53:22,Waiter-000005,RevieGw drinks,RevieGw drinks,distorted label(Insert)
1382,2024-07-04 20:10:35,Waiter-000004,Teview drinks,Review drinks,distorted label(Proximity)
1382,2024-07-09 00:03:48,Cook-000003,PTrepare main course,Prepare main course,distorted label(Insert)
1383,2024-07-11 20:28:25,Waiter-000001,Deliver to cusyomer,Deliver to cusyomer,distorted label(Proximity)
1385,2024-07-04 20:15:00,,Start,start,distorted label(UpLow)
1385,2024-07-11 20:31:02,Cook helper-000002,Bring fovod,Bring fovod,distorted label(Insert)
1394,2024-07-04 22:35:24,Barman-000002,prepare drniks,prepare drniks,distorted label(Interchange)
1394,2024-07-11 22:00:42,Cook-000001,Signal fod complete,Signal food complete,distorted label(Skip)
1402,2024-07-05 01:15:51,Waiter-000001,Review dtrinks,Review dtrinks,distorted label(Insert)
1402,2024-07-05 01:26:36,Barman-000003,Bfing drinks,Bfing drinks,distorted label(Proximity)
1406,2024-07-05 01:43:37,Barman-000001,Bringd rinks,Bringd rinks,distorted label(Interchange)
141,2024-05-10 23:12:28,,EVENT 8d END,EVENT 8d END,distorted label(Insert)
1417,2024-07-12 23:16:31,Waiter-000002,Delievr to customer,Delievr to customer,distorted label(Interchange)
1417,2024-07-12 23:16:38,,EVENT 8END,EVENT 8END,distorted label(Skip)
1421,2024-07-12 23:52:02,,eVENT 8 END,EVENT 8 END,distorted label(UpLow)
1426,2024-07-05 22:30:00,,starg,starg,distorted label(Proximity)
1427,2024-07-15 18:40:21,Waiter-000001,deliver to customer,Deliver to customer,distorted label(UpLow)
143,2024-05-10 23:35:54,Cook-000002,Signal tood complete,Signal tood complete,distorted label(Proximity)
1441,2024-07-08 18:20:45,Waiter-000003,Review lrder,Review lrder,distorted label(Proximity)
1441,2024-07-08 18:29:53,Waiter-000005,review drinks,Review drinks,distorted label(UpLow)
1442,2024-07-08 18:53:05,Barman-000001,prepzre drinks,prepzre drinks,distorted label(Proximity)
1467,2024-07-09 00:45:00,Waiter-000002,TaDke order,TaDke order,distorted label(Insert)
1467,2024-07-09 01:03:43,Barman-000001,Bring drnks,Bring drnks,distorted label(Skip)
1475,2024-07-09 18:52:41,Waiter-000002,Reviewd rinks,Reviewd rinks,distorted label(Interchange)
148,2024-05-10 23:00:00,Waiter-000001,Take ofder,Take ofder,distorted label(Proximity)
1482,2024-07-09 20:31:54,Waiter-000005,review order,Review order,distorted label(UpLow)
1484,2024-07-16 22:43:18,Cook-000002,Signal food cmplete,Signal food cmplete,distorted label(Skip)
1485,2024-07-09 21:28:01,Barman-000003,prepar edrinks,prepar edrinks,distorted label(Interchange)
1487,2024-07-09 21:52:35,Barman-000002,Prepare drinks,prepare drinks,distorted label(UpLow)
1487,2024-07-17 00:13:01,Cook helper-000003,bring food,Bring food,distorted label(UpLow)
1498,2024-07-10 00:30:00,Waiter-000002,Take Yorder,Take Yorder,distorted label(Insert)
1498,2024-07-10 00:52:59,Waiter-000005,Revidw drinks,Revidw drinks,distorted label(Proximity)
1498,2024-07-17 18:57:21,,EVGENT 8 END,EVGENT 8 END,distorted label(Insert)
1500,2024-07-17 18:51:13,Waiter-000001,Delivegr to customer,Delivegr to customer,distorted label(Insert)
1503,2024-07-10 18:09:59,Waiter-000004,RJeview drinks,RJeview drinks,distorted label(Insert)
1503,2024-07-12 23:04:32,Cook-000002,Prepare min course,Prepare min course,distorted label(Skip)
1503,2024-07-17 19:10:30,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
1505,2024-07-10 18:27:18,Barman-000002,Bting drinks,Bting drinks,distorted label(Proximity)
1507,2024-07-10 19:05:28,Waiter-000005,ReviewI drinks,ReviewI drinks,distorted label(Insert)
1509,2024-07-10 19:45:30,Barman-000003,prepare drinjs,prepare drinks,distorted label(Proximity)
1509,2024-07-10 20:13:45,Barman-000001,Fring drinks,Bring drinks,distorted label(Proximity)
1523,2024-07-10 22:55:14,Barman-000001,Bring drink,Bring drinks,distorted label(Skip)
1526,2024-07-10 23:32:09,Barman-000002,prepare drniks,prepare drniks,distorted label(Interchange)
1529,2024-07-11 00:23:15,Barman-000002,Bring rinks,Bring rinks,distorted label(Skip)
1537,2024-07-11 18:24:29,Waiter-000003,Review drins,Review drinks,distorted label(Skip)
1539,2024-07-11 19:13:21,Waiter-000001,Redview drinks,Redview drinks,distorted label(Insert)
1546,2024-07-11 20:56:14,Barman-000001,Bring dirnks,Bring dirnks,distorted label(Interchange)
155,2024-05-11 01:58:51,Cook-000003,Prepare mainc ourse,Prepare mainc ourse,distorted label(Interchange)
1550,2024-07-11 21:45:43,Waiter-000004,Reviewdrinks,Reviewdrinks,distorted label(Skip)
1550,2024-07-11 21:53:38,Barman-000001,prepare drinkx,prepare drinks,distorted label(Proximity)
1551,2024-07-11 21:57:39,Barman-000001,prepared rinks,prepared rinks,distorted label(Interchange)
1551,2024-07-16 20:33:10,Cook-000003,Prepar emain course,Prepar emain course,distorted label(Interchange)
1556,2024-07-19 00:30:58,Cook-000003,signal food complete,Signal food complete,distorted label(UpLow)
