Case,Activity,Timestamp,Resource,label
0,start;Take order,2024-05-06 18:00:00,Waiter-000001,
0,Review order,2024-05-06 18:00:26,Waiter-000002,
0,prepare drinks;Prepare main course,2024-05-06 18:01:27,Cook-000001,
0,Signal food complete,2024-05-06 18:08:55,Cook-000002,
0,Bring drinks;Review drinks,2024-05-06 18:10:35,Barman-000002,form-based events(2024-05-06 18:10:35.746)
0,Bring food,2024-05-06 18:17:06,Cook helper-000001,
0,Deliver to customer,2024-05-06 18:28:15,Waiter-000001,
0,EVENT 8 END,2024-05-06 18:28:36,,
1,start;Take order,2024-05-06 18:15:00,Waiter-000004,
1,Review order,2024-05-06 18:21:16,Waiter-000005,
1,prepare drinks;Prepare main course,2024-05-06 18:21:19,Cook-000003,
1,Signal food complete,2024-05-06 18:28:22,Cook-000001,
1,Bring food,2024-05-06 18:32:39,Cook helper-000002,
1,Bring drinks,2024-05-06 18:37:42,Barman-000001,
1,Review drinks,2024-05-06 18:38:19,Waiter-000004,
1,Deliver to customer,2024-05-06 18:41:38,Waiter-000001,
1,EVENT 8 END,2024-05-06 18:48:07,,
2,start;Take order,2024-05-06 18:30:00,Waiter-000002,
2,Review order,2024-05-06 18:31:43,Waiter-000003,
2,prepare drinks;Prepare main course;Prepare starter,2024-05-06 18:32:39,Cook-000002,
2,Bring drinks,2024-05-06 18:33:35,Barman-000002,
2,Review drinks,2024-05-06 18:41:33,Waiter-000005,
2,Signal food complete,2024-05-06 18:42:38,Cook-000003,
2,Bring food,2024-05-06 18:52:02,Cook helper-000001,
2,Deliver to customer,2024-05-06 18:52:55,Waiter-000005,
2,EVENT 8 END,2024-05-06 18:56:24,,
3,start;Take order,2024-05-06 18:45:00,Waiter-000002,
3,Review order,2024-05-06 18:45:42,Waiter-000003,
3,prepare drinks;Prepare main course,2024-05-06 18:46:01,Cook-000001,
3,Bring drinks,2024-05-06 18:46:25,Barman-000001,
3,Review drinks,2024-05-06 18:49:49,Waiter-000004,
3,prepare drinks,2024-05-06 18:53:13,Barman-000002,
3,Bring drinks,2024-05-06 19:02:51,Barman-000001,
3,Review drinks,2024-05-06 19:05:53,Waiter-000001,
3,Signal food complete,2024-05-06 19:38:29,Cook-000001,
3,Bring food,2024-05-06 19:56:37,Cook helper-000001,
3,Deliver to customer,2024-05-06 19:59:50,Waiter-000004,
3,EVENT 8 END,2024-05-06 20:00:52,,
4,start;Take order,2024-05-06 19:00:00,Waiter-000002,
4,Review order,2024-05-06 19:01:14,Waiter-000003,
4,prepare drinks;Prepare starter,2024-05-06 19:01:40,Cook helper-000003,
4,Signal food complete,2024-05-06 19:01:41,Cook-000002,
4,Bring drinks;Review drinks,2024-05-06 19:11:57,Barman-000002,form-based events(2024-05-06 19:11:57.561)
4,Bring food,2024-05-06 19:29:56,Cook helper-000002,
4,Deliver to customer,2024-05-06 19:32:28,Waiter-000004,
