Case,Timestamp,Activity,Activity_fixed,ishomonymous,label
10009138,2014-04-11 07:01:19,register submission date request,register submission date request,0,
10009138,2014-04-14 07:00:30,OLO messaging active,OLO messaging active,0,
10009138,2014-04-14 07:00:31,create procedure confirmation,enter senddate procedure confirmation,0,
10009138,2014-04-14 07:00:32,create publication document,create publication document,0,
10009138,2014-04-14 07:00:33,create subcases completeness,create subcases completeness,0,
10009138,2014-04-14 07:00:34,forward to the competent authority,forward to the competent authority,0,
10009138,2014-04-14 07:00:35,phase application received,phase application received,0,
10009138,2014-04-14 07:00:36,registration date publication,registration date publication,0,
10009138,2014-04-14 07:00:37,regular procedure without MER,regular procedure without MER,0,
10009138,2014-04-14 07:00:38,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10009138,2014-04-14 07:00:39,Check:homonymous,Check,1,homonymous Label(Activity:'send confirmation receipt')
10009138,2014-04-14 07:00:40,start WABOprocedure,start WABOprocedure,0,
10009138,2014-05-20 07:00:36,article 34  WABO applies,article 34  WABO applies,0,
10009138,2014-05-20 07:00:37,ask stakeholders views,ask stakeholders views,0,
10009138,2014-05-20 07:00:38,assessment of content completed,assessment of content completed,0,
10009138,2014-05-20 07:00:39,by law,by law,0,
10009138,2014-05-20 07:00:40,completed subcases content,completed subcases content,0,
10009138,2014-05-20 07:00:41,coordination of application,coordination of application,0,
10009138,2014-05-20 07:00:42,creating environmental permit decision,creating environmental permit decision,0,
10009138,2014-05-20 07:00:43,decision date prior to decision,decision date prior to decision,0,
10009138,2014-05-20 07:00:44,generating decision environmental permit,generating decision environmental permit,0,
10009138,2014-05-20 07:00:45,grounds for refusal,grounds for refusal,0,
10009138,2014-05-20 07:00:46,phase advice known,phase advice known,0,
10009138,2014-05-20 07:00:47,phase application receptive,phase application received,0,
10009138,2014-05-20 07:00:48,phase decision ready,phase decision ready,0,
10009138,2014-05-20 07:00:49,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10009138,2014-05-20 07:00:50,Check:homonymous,Check,1,homonymous Label(Activity:'procedure change')
10009138,2014-05-20 07:00:51,request complete,request complete,0,
10009138,2014-05-20 07:00:52,send letter in progress,send letter in progress,0,
10009138,2014-05-20 07:00:53,set decision status,set decision status,0,
10009138,2014-05-20 07:00:54,submit decision,submit decision,0,
10009138,2014-05-20 07:00:55,suspension ground applicable,suspension ground applicable,0,
10009138,2014-05-20 07:00:56,treat subcases content,treat subcases content,0,
10009138,2014-06-04 07:00:01,creating cover letter decision,creating cover letter decision,0,
10009138,2014-06-04 07:00:02,enter senddate decision,enter senddate decision,0,
10009138,2014-06-04 07:00:03,Check:homonymous,Check,1,homonymous Label(Activity:'enter senddate decision environmental permit')
10009138,2014-06-04 07:00:04,phase decision sent,phase decision sent,0,
10009138,2014-06-04 07:00:05,phase decision taken,phase decision taken,0,
10009138,2014-06-04 07:00:06,record date of decision environmental permit,record date of decision environmental permit,0,
10009138,2014-06-04 07:00:07,register objection and appeal periods,register objection and appeal periods,0,
10009138,2014-06-04 07:00:08,set decision phase decision permitting decided,set decision phase decision permitting decided,0,
10009138,2014-06-04 07:00:09,transcript decision environmental permit to stakeholders,transcript decision environmental permit to stakeholders,0,
10009138,2014-06-05 07:00:09,Check:homonymous,Check,1,homonymous Label(Activity:'enter senddate decision environmental permit')
10009138,2014-06-05 07:00:10,start decision phase decision permitting sent,set decision phase decision permitting decided,0,
10051383,2014-04-17 07:00:31,OLO messaging active,OLO messaging active,0,
10051383,2014-04-17 07:00:32,create procedure confirmation,enter senddate procedure confirmation,0,
10051383,2014-04-17 07:00:33,create publication document,create publication document,0,
10051383,2014-04-17 07:00:34,create subcases completeness,create subcases completeness,0,
10051383,2014-04-17 07:00:35,forward to the competent authority,forward to the competent authority,0,
10051383,2014-04-17 07:00:36,phase application received,phase application received,0,
10051383,2014-04-17 07:00:37,register submission date request,register submission date request,0,
10051383,2014-04-17 07:00:38,registration date publication,registration date publication,0,
10051383,2014-04-17 07:00:39,regular procedure without MER,regular procedure without MER,0,
10051383,2014-04-17 07:00:40,send confirmation receipt,send confirmation receipt,0,
10051383,2014-04-17 07:00:41,send confirmation receipt,send confirmation receipt,0,
10051383,2014-04-17 07:00:42,start WABOprocedure,start WABOprocedure,0,
10051383,2014-05-27 07:00:48,create letter requesting missing data,create letter requesting missing data,0,
10051383,2014-05-27 07:00:49,phase asked additional information,phase asked additional information,0,
10051383,2014-05-27 07:00:50,procedure change,procedure change,0,
10051383,2014-05-27 07:00:51,request complete,request complete,0,
10051383,2014-05-27 07:00:52,retrieve missing data,retrieve missing data,0,
10051383,2014-05-27 07:00:53,term for supplying missing data,term for supplying missing data,0,
10051383,2014-06-13 07:00:31,enter receipt of additional data,enter receipt of additional data,0,
10051383,2014-06-13 07:00:32,phase additional information received,receive additional information,0,
10051383,2014-06-16 07:00:12,MER present in supplement,MER present in supplement,0,
10051383,2014-06-16 07:00:13,send confirmation receipt additional data,send confirmation receipt additional data,0,
10051383,2014-06-24 07:00:01,ask stakeholders views,ask stakeholders views,0,
