Case,Activity,Timestamp,label
0,Take order;start,2024-05-06 18:00:00.000,
0,Review order,2024-05-06 18:00:26.397,
0,Prepare main course;prepare drinks,2024-05-06 18:01:27.727,
0,Signal food complete,2024-05-06 18:08:55.574,
0,Bring drinks;Review drinks,2024-05-06 18:10:35.746,form-based events(2024-05-06 18:10:35.746)
0,Bring food,2024-05-06 18:17:06.274,
0,Deliver to customer,2024-05-06 18:28:15.901,
0,EVENT 8 END,2024-05-06 18:28:36.374,
1,Take order;start,2024-05-06 18:15:00.000,
1,Review order,2024-05-06 18:21:16.885,
1,Prepare main course;prepare drinks,2024-05-06 18:21:19.290,
1,Signal food complete,2024-05-06 18:28:22.423,
1,Bring food,2024-05-06 18:32:39.040,
1,Bring drinks,2024-05-06 18:37:42.138,
1,Review drinks,2024-05-06 18:38:19.504,
1,Deliver to customer,2024-05-06 18:41:38.777,
1,EVENT 8 END,2024-05-06 18:48:07.685,
2,Take order;start,2024-05-06 18:30:00.000,
2,Review order,2024-05-06 18:31:43.657,
2,Prepare main course;Prepare starter;prepare drinks,2024-05-06 18:32:39.248,
2,Bring drinks,2024-05-06 18:33:35.761,
2,Review drinks,2024-05-06 18:41:33.110,
2,Signal food complete,2024-05-06 18:42:38.623,
2,Bring food,2024-05-06 18:52:02.985,
2,Deliver to customer,2024-05-06 18:52:55.482,
2,EVENT 8 END,2024-05-06 18:56:24.810,
3,Take order;start,2024-05-06 18:45:00.000,
3,Review order,2024-05-06 18:45:42.434,
3,Prepare main course;prepare drinks,2024-05-06 18:46:01.187,
3,Bring drinks,2024-05-06 18:46:25.135,
3,Review drinks,2024-05-06 18:49:49.033,
3,prepare drinks,2024-05-06 18:53:13.575,
3,Bring drinks,2024-05-06 19:02:51.779,
3,Review drinks,2024-05-06 19:05:53.390,
3,Signal food complete,2024-05-06 19:38:29.090,
3,Bring food,2024-05-06 19:56:37.626,
3,Deliver to customer,2024-05-06 19:59:50.671,
3,EVENT 8 END,2024-05-06 20:00:52.004,
4,Take order;start,2024-05-06 19:00:00.000,
4,Review order,2024-05-06 19:01:14.635,
4,Prepare starter;prepare drinks,2024-05-06 19:01:40.513,
4,Signal food complete,2024-05-06 19:01:41.077,
4,Bring drinks;Review drinks,2024-05-06 19:11:57.561,form-based events(2024-05-06 19:11:57.561)
4,Bring food,2024-05-06 19:29:56.764,
4,Deliver to customer,2024-05-06 19:32:28.195,
4,EVENT 8 END,2024-05-06 19:37:12.080,
5,Take order;start,2024-05-06 19:15:00.000,
5,Review order,2024-05-06 19:16:14.700,
5,Prepare main course;prepare drinks,2024-05-06 19:16:25.545,
5,Bring drinks,2024-05-06 19:39:00.219,
5,Review drinks,2024-05-06 19:41:06.362,
5,Signal food complete,2024-05-06 19:57:21.743,
5,Bring food,2024-05-06 20:07:38.081,
5,Deliver to customer,2024-05-06 20:09:58.152,
5,EVENT 8 END,2024-05-06 20:10:29.307,
6,Take order;start,2024-05-06 19:30:00.000,
6,Review order,2024-05-06 19:30:01.617,
6,Prepare main course;prepare drinks,2024-05-06 19:31:15.792,
6,Bring drinks,2024-05-06 19:31:50.421,
6,Review drinks,2024-05-06 19:34:50.443,
6,Signal food complete,2024-05-06 19:37:16.849,
6,Bring food,2024-05-06 20:34:05.125,
6,Deliver to customer,2024-05-06 20:34:19.232,
6,EVENT 8 END,2024-05-06 20:34:54.999,
7,Take order;start,2024-05-06 19:45:00.000,
7,Review order,2024-05-06 19:51:43.119,
7,prepare drinks,2024-05-06 19:52:56.552,
7,Bring drinks;Review drinks,2024-05-06 19:54:05.837,form-based events(2024-05-06 19:54:05.837)
7,Prepare main course,2024-05-06 19:56:37.626,
7,Signal food complete,2024-05-06 21:28:27.029,
7,Bring food,2024-05-06 21:54:49.690,
7,Deliver to customer,2024-05-06 21:56:07.680,
7,EVENT 8 END,2024-05-06 21:56:23.319,
8,Take order;start,2024-05-06 20:00:00.000,
8,Review order,2024-05-06 20:00:01.138,
8,Prepare starter;prepare drinks,2024-05-06 20:00:04.147,
8,Bring drinks,2024-05-06 20:00:54.944,
8,Review drinks,2024-05-06 20:04:36.073,
8,Prepare main course,2024-05-06 20:07:38.081,
8,Signal food complete,2024-05-06 20:16:46.824,
8,Bring food,2024-05-06 20:55:46.162,
8,Deliver to customer,2024-05-06 21:00:10.774,
8,EVENT 8 END,2024-05-06 21:01:36.429,
9,Take order;start,2024-05-06 20:15:00.000,
9,Review order,2024-05-06 20:17:11.153,
9,prepare drinks,2024-05-06 20:18:02.923,
