Case,Activity,Timestamp,label
2771451,enter senddate retrieve missing data,2010-11-18 08:00:01,
2771451,request complete,2010-12-01 18:54:01,
2771451,phase advice known,2010-12-01 18:54:20,
2771451,creating environmental permit decision,2010-12-01 18:54:48,
2771451,register date environmental permit decision,2010-12-06 08:00:01,
2782209,enter date publication decision environmental permit;enter senddate procedure confirmation;register submission date request,2010-10-06 07:00:01,form-based (orig=2010-11-18 08:00:02)
2783345,enter senddate procedure confirmation,2010-10-11 07:00:01,
2783345,enter receipt of additional data;enter senddate procedure confirmation;registrer date of publishing received request,2010-10-11 07:00:02,form-based (orig=2010-10-19 07:00:01)
2783345,phase advice known;request complete,2010-11-24 08:00:02,form-based (orig=2010-12-01 18:37:30)
2783345,creating environmental permit decision,2010-12-01 18:39:11,
2783345,enter date publication decision environmental permit;enter senddate decision environmental permit;register date environmental permit decision,2010-12-06 08:00:02,form-based (orig=2010-12-06 08:00:03)
2794023,registrer date of publishing received request,2010-10-27 07:00:01,
2794023,enter senddate confirmation request;register date decision terminate on request;stop process after terminate on request,2010-12-07 08:00:01,form-based (orig=2010-12-07 08:00:02)
2797217,enter senddate acknowledgement,2010-10-12 07:00:01,
2797217,register submission date request,2010-10-12 07:00:02,
2797217,enter senddate procedure confirmation,2010-10-15 07:00:01,
2797217,enter senddate procedure confirmation,2010-10-15 07:00:02,
2797217,request complete,2010-10-25 22:23:00,
2797217,phase advice known,2010-10-25 22:23:26,
2797217,creating environmental permit decision,2010-10-25 22:23:50,
2797217,registrer date of publishing received request,2010-10-27 07:00:02,
2802160,register submission date request,2010-10-13 07:00:01,
2802160,enter senddate procedure confirmation,2010-10-18 07:00:01,
2802160,enter senddate procedure confirmation,2010-10-19 07:00:02,
2802160,registrer date of publishing received request,2010-10-27 07:00:03,
2802160,enter senddate retrieve missing data,2010-11-18 08:00:03,
2814003,register submission date request,2010-10-19 07:00:03,
2814003,enter senddate procedure confirmation,2010-11-01 08:00:01,
2814003,enter senddate procedure confirmation,2010-11-01 08:00:02,
2814003,phase advice known;registrer date of publishing received request;request complete,2010-11-03 08:00:01,form-based (orig=2010-11-08 19:29:03)
2814003,enter date publication decision environmental permit,2010-11-17 08:00:01,
2817543,enter senddate procedure confirmation,2010-10-25 07:00:01,
2817543,enter senddate procedure confirmation,2010-12-07 08:00:03,
2817543,enter senddate retrieve missing data;phase advice known;request complete,2010-12-07 08:00:04,form-based (orig=2011-03-04 20:31:48)
2817543,grounds for refusal,2011-03-04 20:31:48,form-based (orig=2011-03-04 20:32:19)
2817543,phase concept draft decision ready,2011-03-04 20:32:24,
2817543,creating environmental permit decision;enter date draft decisionenvironmental permit;publish official draft decision,2011-03-04 20:36:07,form-based (orig=2011-03-08 08:00:01)
2824783,register submission date request,2010-10-27 07:00:04,
2824783,send confirmation receipt,2011-07-08 17:54:09,
2825088,register submission date request,2010-10-26 07:00:01,
2825088,send confirmation receipt,2012-03-29 17:35:30,
2825088,send procedure confirmation,2012-03-29 17:35:41,
2830183,phase advice known;register submission date request;request complete,2010-10-22 07:00:01,form-based (orig=2010-12-09 00:45:33)
2830183,creating environmental permit decision,2010-12-14 20:22:13,
2831567,register submission date request,2010-10-25 07:00:02,
2831567,enter senddate procedure confirmation,2010-11-02 08:00:01,
2831567,registrer date of publishing received request,2010-11-10 08:00:01,
2831567,enter senddate procedure confirmation;phase advice known;register date environmental permit decision;request complete,2010-12-06 08:00:04,form-based (orig=2010-12-07 08:00:05)
